A ^at++++=A
recent ^jj+atrb+++=recent
publication ^nn++++=publication
by ^in++++=by
the ^ati++++=the
Pediatric ^np+++??+=Pediatric
Ibd ^np+++??+=IBD
Porto ^np+++??+=PORTO
Group ^nn++++=Group
of ^in++++=of
Espghan ^np+++??+=ESPGHAN
summarized ^vwbn+++xvbn+=summarized
essential ^nn++++=essential
data ^nns++++=data
regarding ^in++++=regarding
children ^nns++++=children
with ^in++++=with
inflammatory ^jj+atrb+++=inflammatory
bowel ^nn++++=bowel
disease ^nn++++=disease
( ^zz++++=(IBD)
ibd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
were ^vbd+bed+aux++=were
infected ^vpsv++agls+xvbnx+=infected
with ^in++++=with
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
and ^cc++++=and
offered ^vbd+++xvbn+=offered
specific ^jj+atrb+++=specific
recommendations ^nns++++=recommendations
for ^in++++=for
clinical ^jj+atrb+++=clinical
management ^nn++++=management.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
pediatric ^nn+++??+=pediatric
gastroenterology ^nn+++??+=gastroenterology
specialists ^nns++++=specialists
from ^in++++=from
China ^np++++=China
and ^cc++++=and
Korea ^np++++=Korea
reported ^vbd+vpub++xvbn+=reported
272 ^cd++++=272
cases ^nns++++=cases
of ^in++++=of
children ^nns++++=children
with ^in++++=with
Ibd ^np+++??+=IBD
and ^cc++++=and
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
European ^jj+atrb+++=European
sources ^nns++++=sources
documented ^vwbn+++xvbn+=documented
eight ^cd++++=eight
pediatric ^nn+++??+=pediatric
Ibd ^np+++??+=IBD
patients ^nns++++=patients
aged ^jj++++=aged
14 ^cd++++=14
to ^to++++=to
19 ^cd++++=19
years ^nns++++=years
with ^in++++=with
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
recorded ^nn++++=recorded
in ^in++++=in
the ^ati++++=the
Porto ^np+++??+=PORTO-IBD
- ^zz++++=EXTRAWORD
ibd ^nn++++=EXTRAWORD
group ^nn++++=group
and ^cc++++=and
the ^ati++++=the
secure ^vb++++=SECURE-IBD
- ^zz++++=EXTRAWORD
ibd ^nn++++=EXTRAWORD
database ^nn++++=database.
. ^zz++++=EXTRAWORD
