Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pandemic ^nn+++??+=pandemic
represents ^vbz++++=represents
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
significant ^jj+atrb+++=significant
public ^jj+atrb+++=public
health ^nn++++=health
challenges ^vbz++++=challenges
in ^in++++=in
recent ^jj+atrb+++=recent
human ^jj+atrb+++=human
history ^nn++++=history,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
trajectory ^nn+++??+=trajectory
can ^md+pos+++=can
be ^vb+be+aux++=be
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
individual ^nn++++=individual
and ^cc++++=and
collective ^jj+atrb+++=collective
behavioral ^jj+atrb+++=behavioral
measures ^nns++++=measures
are ^vb+ber+aux++=are
rigorously ^rb++splt++=rigorously
implemented ^vpsv++agls+xvbn+=implemented.
. ^zz++++=EXTRAWORD
