Atypical ^jj+atrb+++=Atypical
findings ^nns++++=findings
include ^vb++++=include
isolated ^jj+atrb++xvbn+=isolated
lobar ^nn+++??+=lobar
or ^cc++++=or
segmental ^jj+atrb++??+=segmental
consolidation ^nn++++=consolidation
without ^in++++=without
associated ^jj+atrb++xvbn+=associated
ground ^nn++++=ground-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
opacities ^nns+++??+=opacities,
, ^zz++++=EXTRAWORD
discrete ^jj+atrb+++=discrete
small ^jj+atrb+++=small
nodules ^nns+++??+=nodules
exhibiting ^vwbg+++xvbg+=exhibiting
a ^at++++=a
centrilobular ^nn+++??+=centrilobular
" ^zz++++="tree-in-bud"
tree ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
bud ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
pattern ^nn++++=pattern,
, ^zz++++=EXTRAWORD
cavitation ^nn+++??+=cavitation,
, ^zz++++=EXTRAWORD
isolated ^jj+atrb++xvbn+=isolated
pleural ^nn+++??+=pleural
effusion ^nn+++??+=effusion,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
enlargement ^nn++++=enlargement
of ^in++++=of
mediastinal ^jj+atrb+++=mediastinal
lymph ^nn++++=lymph
nodes ^nns++++=nodes
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
