Although ^cs+con+++=Although
other ^ap++++=other
exotic ^jj+atrb+++=exotic
species ^nns++++=species
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
fragments ^nns++++=fragments
of ^in++++=of
the ^ati++++=the
park ^npl++++=park
( ^zz++++=(SMA
sma ^np++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
Petri ^np+++??+=Petri
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
Coffea ^np+++??+=Coffea
arabica ^nn+++??+=arabica
L ^zz++++=L.
. ^zz++++=EXTRAWORD
( ^zz++++=(coffee)
coffee ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
the ^ati++++=the
sampling ^nn++++=sampling
units ^nns++++=units
recruited ^vwbn+++xvbn+=recruited
in ^in++++=in
2012 ^cd++++=2012
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
occurrence ^nn++++=occurrence
of ^in++++=of
this ^dt+dem+++=this
species ^nn++++=species
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
historical ^jj+atrb+++=historical
land ^nn++++=land
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
park ^nn++++=park
area ^nn++++=area,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
coffee ^nn++++=coffee
was ^vbd+bedz+aux++=was
previously ^rb+tm+splt++=previously
cultivated ^vpsv++agls+xvbnx+=cultivated
on ^in++++=on
small ^jj+atrb+++=small
farms ^nns++++=farms
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
establishment ^nn++++=establishment
of ^in++++=of
the ^ati++++=the
park ^npl++++=park
( ^zz++++=(SMA
sma ^np++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Coffea ^np+++??+=Coffea
arabica ^nn+++??+=arabica
is ^vbz+bez+aux++=is
dispersed ^vpsv++by+xvbnx+=dispersed
by ^in++++=by
animals ^nns++++=animals
and ^cc++++=and
is ^vbz+bez+vrb++=is
capable ^jj+pred+++=capable
of ^in++++=of
developing ^nn++++=developing
in ^in++++=in
shaded ^xvbn+++xvbn+=shaded
environments ^nns++++=environments,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
understory ^nn++++=understory
examined ^vwbn+++xvbn+=examined
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
( ^zz++++=(Instituto
instituto ^nn+++??+=EXTRAWORD
H ^zz++++=H
rus ^nn++++=rus
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
species ^nn++++=species
is ^vbz+bez+aux++=is
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
a ^at++++=a
Non ^&fw++++=Non-Dominant
- ^zz++++=EXTRAWORD
dominant ^jj+atrb+++=EXTRAWORD
Invader ^np+++??+=Invader
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
area ^nn++++=area
( ^zz++++=(Petri
petri ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018)
) ^zz++++=EXTRAWORD
and ^cc++++=and
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
have ^vbi++vrb++=have
intermediate ^jj+atrb+++=intermediate
priority ^nn++++=priority
for ^in++++=for
removal ^nn++++=removal
from ^in++++=from
protected ^xvbn+++xvbn+=protected
areas ^nns++++=areas
( ^zz++++=(Durigan
durigan ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ongoing ^np+++??+=Ongoing
monitoring ^vwbg+++xvbg+=monitoring
of ^in++++=of
the ^ati++++=the
park ^nn++++=park
fragments ^nns++++=fragments
is ^vbz+bez+vrb++=is
therefore ^rb+cnj+++=therefore
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
inform ^vbi++++=inform
appropriate ^jj+atrb+++=appropriate
management ^nn++++=management
strategies ^nns++++=strategies
for ^in++++=for
this ^dt+dem+++=this
species ^nn++++=species.
. ^zz++++=EXTRAWORD
