Established ^vbd+vprv++xvbn+=Established
in ^in++++=in
2011 ^cd++++=2011
by ^in++++=by
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Telehealth ^np+++??+=Telehealth
program ^nn+++??+=program
( ^zz++++=(Programa
programa ^nn+++??+=EXTRAWORD
Telessa ^np+++??+=Telessa
de ^&fw++++=de,
, ^zz++++=EXTRAWORD
in ^in++++=in
Portuguese ^jj++++=Portuguese)
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
served ^vprf+++xvbnx+=served
as ^ql++++=as
an ^at++++=an
additional ^jj+atrb+++=additional
resource ^nn++++=resource
for ^in++++=for
health ^nn++++=health
professionals ^nns++++=professionals
and ^cc++++=and
managers ^nns++++=managers
in ^in++++=in
addressing ^xvbg+++xvbg+=addressing
the ^ati++++=the
challenges ^nn++++=challenges
posed ^vwbn+++xvbn+=posed
by ^in++++=by
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Utilizing ^np+++??+=Utilizing
bidirectional ^nn+++??+=bidirectional
telecommunication ^nn++++=telecommunication
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
health ^nn++++=health
professionals ^nns++++=professionals
and ^cc++++=and
managers ^nns++++=managers
can ^md+pos+++=can
submit ^vb+vpub+++=submit
inquiries ^nns++++=inquiries
regarding ^in++++=regarding
clinical ^jj+atrb+++=clinical
management ^nn++++=management,
, ^zz++++=EXTRAWORD
preventive ^jj+atrb+++=preventive
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
work ^nn++++=work
process ^nn++++=process
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
a ^at++++=a
qualified ^jj+++xvbn+=qualified
professional ^jj++++=professional
responds ^vbz++++=responds
with ^in++++=with
information ^nn++++=information
grounded ^vbd+++xvbn+=grounded
in ^in++++=in
current ^jj+atrb+++=current
scientific ^jj+atrb+++=scientific
evidence ^nn++++=evidence.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
has ^vbz+hvz+aux++=has
contributed ^vprf+++xvbnx+=contributed
to ^to++++=to
improving ^vbi++++=improving
the ^ati++++=the
quality ^nn++++=quality
of ^in++++=of
care ^nn++++=care
provided ^vbd+vsua++xvbn+=provided
in ^in++++=in
primary ^jj+atrb+++=primary
health ^nn++++=health
care ^nn++++=care
( ^zz++++=(PHC)
phc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
reducing ^jj+atrb+++=reducing
unnecessary ^jj+atrb+++=unnecessary
referrals ^nns++++=referrals
to ^in++++=to
specialized ^vbd+++xvbn+=specialized
services ^nns++++=services.
. ^zz++++=EXTRAWORD
