During ^in++++=During
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
dental ^jj+atrb+++=dental
care ^nn++++=care
health ^nn++++=health
professionals ^nns++++=professionals
( ^zz++++=(DCHP)
dchp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
should ^md+nec+++=should
utilize ^vb++++=utilize
telecommunication ^nn++++=telecommunication
or ^cc++++=or
teledentistry ^nn+++??+=teledentistry
prior ^in+cmpx+++=prior
to ^in"++++=to
in ^in++++=in-person
- ^zz++++=EXTRAWORD
person ^nn++++=EXTRAWORD
dental ^jj+atrb+++=dental
treatment ^nn++++=treatment
to ^to++++=to
assess ^vbi++++=assess
patient ^nn++++=patient
needs ^nns++++=needs
and ^cc++++=and
reduce ^vb++++=reduce
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
assessment ^nn++++=assessment
should ^md+nec+++=should
include ^vb++++=include
screening ^nvbg+++xvbg+=screening
for ^in++++=for
symptoms ^nns++++=symptoms
such ^abl++++=such
as ^ql++++=as
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
shortness ^nns+++??+=shortness
of ^in++++=of
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
as ^in++++=as
recommended ^nn++++=recommended
by ^in++++=by
the ^ati++++=the
American ^jj+atrb+++=American
Dental ^jj+atrb+++=Dental
Association ^nn++++=Association
( ^zz++++=(ADA),
ada ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
recent ^jj+atrb+++=recent
national ^jj+atrb+++=national
or ^cc+phrs+++=or
international ^jj+atrb+++=international
travel ^nn++++=travel,
, ^zz++++=EXTRAWORD
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
Centers ^np+++??+=Centers
for ^in++++=for
Disease ^nn++++=Disease
Control ^nn++++=Control
and ^cc++++=and
Prevention ^nn++++=Prevention
( ^zz++++=(CDC)
cdc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
guidelines ^nns+++??+=guidelines.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
appropriate ^jj++++=appropriate,
, ^zz++++=EXTRAWORD
dentists ^nns++++=dentists
should ^md+nec+++=should
provide ^vb+vsua+++=provide
advice ^nn++++=advice,
, ^zz++++=EXTRAWORD
prescribe ^vb++++=prescribe
analgesics ^nns++++=analgesics
and ^cc++++=and/or
antimicrobials ^nns+++??+=antimicrobials,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
postpone ^vb++++=postpone
in ^in++++=in-person
- ^zz++++=EXTRAWORD
person ^nn++++=EXTRAWORD
visits ^nns++++=visits,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
maintaining ^vbg+++xvbg+=maintaining
direct ^jj+atrb+++=direct
communication ^nn++++=communication
with ^in++++=with
patients ^nns++++=patients
via ^in++++=via
phone ^nn++++=phone
or ^cc++++=or
text ^nn++++=text
message ^nn++++=message.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
patient ^nn++++=patient
presents ^vbz++++=presents
with ^in++++=with
a ^at++++=a
dental ^jj+atrb+++=dental
emergency ^nn++++=emergency
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
potentially ^rb++++=potentially
life ^nn++++=life-threatening,
- ^zz++++=EXTRAWORD
threatening ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
uncontrolled ^jj+atrb+++=uncontrolled
bleeding ^nvbg+++xvbg+=bleeding,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
an ^at++++=an
urgent ^jj++++=urgent
dental ^jj++++=dental
need ^vb++++=need
involving ^vbg+++xvbg+=involving
severe ^jj+atrb+++=severe
pain ^nn++++=pain
or ^cc++++=or
risk ^nn++++=risk
of ^in++++=of
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
exhibits ^nns++++=exhibits
signs ^nns++++=signs
or ^cc++++=or
symptoms ^nns++++=symptoms
of ^in++++=of
respiratory ^jj+atrb+++=respiratory
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
the ^ati++++=the
patient ^nn++++=patient
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
treated ^vpsv++agls+xvbnx+=treated
in ^in++++=in
a ^at++++=a
dental ^jj+atrb+++=dental
office ^nn++++=office
but ^cc++++=but
should ^md+nec+++=should
instead ^rb+cnj+++=instead
be ^vb+be+aux++=be
referred ^vpsv++agls+xvbnx+=referred
to ^in++++=to
an ^at++++=an
emergency ^nn++++=emergency
care ^nn++++=care
facility ^nn++++=facility
equipped ^vbd+++xvbn+=equipped
with ^in++++=with
Transmission ^nn++++=Transmission-Based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
Precautions ^nns++++=Precautions,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
N95 ^np+++??+=N95
masks ^vbz++++=masks
and ^cc++++=and
Airborne ^jj+atrb+++=Airborne
Infection ^nn++++=Infection
Isolation ^nn++++=Isolation
Rooms ^nns++++=Rooms,
 ^zz++++=EXTRAWORD
As ^in++++=as
Recommended ^nn++++=recommended
By ^in++++=by
The ^ati++++=the
Ada ^np++++=ADA.
 ^zz++++=EXTRAWORD
