Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
tracheostomy ^nn+++??+=tracheostomy
is ^vbz+bez+vrb++=is
an ^at++++=an
elective ^nn+++??+=elective
procedure ^nn++++=procedure,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
to ^to++++=to
obtain ^vbi++++=obtain
prior ^jj+atrb+++=prior
diagnostic ^nn+++??+=diagnostic
confirmation ^nn++++=confirmation
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
and ^cc++++=and
ensure ^vb+vprv+++=ensure
clinical ^jj+atrb+++=clinical
stabilization ^nn+++??+=stabilization
of ^in++++=of
the ^ati++++=the
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
procedure ^nn++++=procedure
carries ^vbz++++=carries
a ^at++++=a
high ^nn++++=high
risk ^vb++++=risk
of ^in++++=of
aerosol ^nn++++=aerosol
generation ^nn++++=generation.
. ^zz++++=EXTRAWORD
