Given ^vbd+++xvbn+=Given
the ^ati++++=the
satisfactory ^jj+atrb+++=satisfactory
antimicrobial ^nn+++??+=antimicrobial
activity ^nn++++=activity
observed ^vbd+++xvbn+=observed
against ^in++++=against
bacteria ^nns++++=bacteria
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
initial ^jj+atrb+++=initial
colonization ^nn++++=colonization
of ^in++++=of
the ^ati++++=the
tooth ^nn++++=tooth
surface ^nn++++=surface
and ^cc++++=and
the ^ati++++=the
early ^jj+atrb+++=early
stages ^nns++++=stages
of ^in++++=of
dental ^jj+atrb+++=dental
caries ^nn++++=caries,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
low ^jj+atrb+++=low
cytotoxicity ^nn+++??+=cytotoxicity
and ^cc++++=and
high ^jj+atrb+++=high
selectivity ^nn+++??+=selectivity
demonstrated ^vbd+vprv++xvbn+=demonstrated,
, ^zz++++=EXTRAWORD
all ^abn++++=all
samples ^nns++++=samples
of ^in++++=of
the ^ati++++=the
ethanolic ^nn+++??+=ethanolic
extract ^nn++++=extract
( ^zz++++=(EE)
ee ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
bark ^nn++++=bark
of ^in++++=of
Schinopsis ^np+++??+=Schinopsis
brasiliensis ^nns+++??+=brasiliensis
Engl ^np+++??+=Engl.
. ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
potential ^jj+atrb+++=potential
candidates ^nns++++=candidates
for ^in++++=for
inclusion ^nn++++=inclusion
in ^in++++=in
dental ^jj+atrb+++=dental
formulations ^nns++++=formulations
aimed ^vpsv++agls+xvbn+=aimed
at ^rb++++=at
controlling ^jj+atrb+++=controlling
oral ^jj+atrb+++=oral
biofilm ^nn++++=biofilm.
. ^zz++++=EXTRAWORD
