Design ^nn++++=Design
and ^cc++++=and
setting ^nvbg+++xvbg+=setting:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
protocol ^nn++++=protocol
outlines ^nns++++=outlines
a ^at++++=a
rapid ^jj+atrb+++=rapid
living ^jj+atrb++xvbg+=living
systematic ^jj+atrb+++=systematic
review ^nn++++=review
that ^tht+rel+subj++=that
will ^md+prd+++=will
adhere ^vb++++=adhere
to ^in++++=to
the ^ati++++=the
recommendations ^nns++++=recommendations
of ^in++++=of
the ^ati++++=the
Cochrane ^np+++??+=Cochrane
Handbook ^np+++??+=Handbook
for ^in++++=for
Systematic ^jj+atrb+++=Systematic
Reviews ^nns++++=Reviews.
. ^zz++++=EXTRAWORD
The ^ati++++=The
review ^nn++++=review
will ^md+prd+++=will
include ^vb++++=include
prospective ^jj+atrb+++=prospective
and ^cc+phrs+++=and
retrospective ^jj+atrb+++=retrospective
cohort ^nn++++=cohort
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
case ^nn++++=case-control
- ^zz++++=EXTRAWORD
control ^nn++++=EXTRAWORD
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
case ^nn++++=case
series ^nn++++=series
involving ^vwbg+++xvbg+=involving
patients ^nns++++=patients
with ^in++++=with
confirmed ^nn++++=confirmed
diagnoses ^vbz++++=diagnoses
of ^in++++=of
both ^abx++++=both
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
and ^cc++++=and
arboviral ^nn+++??+=arboviral
infections ^nns++++=infections.
. ^zz++++=EXTRAWORD
The ^ati++++=The
literature ^nn++++=literature
search ^nn++++=search
will ^md+prd+++=will
be ^vb+be+aux++=be
conducted ^vpsv++agls+xvbnx+=conducted
without ^in++++=without
language ^nn++++=language
restrictions ^nns++++=restrictions
across ^in+pl+++=across
multiple ^jj+atrb+++=multiple
databases ^nns+++??+=databases,
, ^zz++++=EXTRAWORD
including ^in++++=including
Medline ^np+++??+=Medline
via ^in++++=via
Pubmed ^np+++??+=PubMed,
, ^zz++++=EXTRAWORD
Embase ^np+++??+=Embase
via ^in++++=via
Elsevier ^np+++??+=Elsevier,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Cochrane ^np+++??+=Cochrane
Library ^nn++++=Library
( ^zz++++=(CENTRAL),
central ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Portal ^nn++++=Portal
Regional ^jj+atrb+++=Regional
Bvs ^np+++??+=BVS
( ^zz++++=(LILACS),
lilacs ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Web ^nn++++=Web
of ^in++++=of
Science ^nn++++=Science,
, ^zz++++=EXTRAWORD
to ^to++++=to
identify ^vbi++++=identify
published ^vbd+++xvbn+=published,
, ^zz++++=EXTRAWORD
ongoing ^nn+++??+=ongoing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unpublished ^jj+atrb+++=unpublished
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
Study ^nn++++=Study
selection ^nn++++=selection
and ^cc++++=and
data ^nns++++=data
extraction ^nn++++=extraction
will ^md+prd+++=will
be ^vb+be+aux++=be
independently ^rb++splt++=independently
performed ^vpsv++by+xvbnx+=performed
by ^in++++=by
two ^cd++++=two
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
The ^ati++++=The
methodological ^jj+atrb+++=methodological
quality ^nn++++=quality
of ^in++++=of
included ^vbd+++xvbn+=included
studies ^nns++++=studies
will ^md+prd+++=will
be ^vb+be+aux++=be
assessed ^vpsv++agls+xvbnx+=assessed
using ^vbg+++xvbg+=using
the ^ati++++=the
Newcastle ^np++++=Newcastle-Ottawa
- ^zz++++=EXTRAWORD
ottawa ^np++++=EXTRAWORD
Scale ^nn++++=Scale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
certainty ^nn++++=certainty
of ^in++++=of
evidence ^nn++++=evidence
will ^md+prd+++=will
be ^vb+be+aux++=be
evaluated ^vpsv++agls+xvbnx+=evaluated
using ^vbg+++xvbg+=using
the ^ati++++=the
Grading ^jj+++xvbg+=Grading
of ^in++++=of
Recommendations ^nns++++=Recommendations
Assessment ^nn++++=Assessment,
 ^zz++++=EXTRAWORD
Development ^nn++++=Development
And ^cc++++=and
Evaluation ^nn++++=Evaluation
 ^zz++++=(GRADE)
Grade ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
Approach ^nn++++=approach.
 ^zz++++=EXTRAWORD
