Comparison ^nn++++=Comparison
of ^in++++=of
group ^nn++++=group
1 ^zz++++=1
and ^cc++++=and
group ^nn++++=group
2 ^zz++++=2
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
the ^ati++++=the
incidence ^nn++++=incidence
rate ^nn++++=rate
in ^in++++=in
group ^nn++++=group
1 ^zz++++=1
is ^vbz+bez+vrb++=is
21.36 ^cd++++=21.36
times ^nns++++=times
higher ^jjr++++=higher
than ^cs+sub+++=than
in ^in++++=in
group ^nn++++=group
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mortality ^nn++++=mortality
rate ^nn++++=rate
in ^in++++=in
group ^nn++++=group
1 ^zz++++=1
is ^vbz+bez+vrb++=is
53.21 ^cd++++=53.21
times ^nns++++=times
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
lethality ^nn+++??+=lethality
rate ^nn++++=rate
is ^vbz+bez+vrb++=is
2.49 ^cd++++=2.49
times ^nns++++=times
higher ^jjr++++=higher
than ^in++++=than
those ^dt+dem+++=those
observed ^jj+++xvbn+=observed
in ^in++++=in
group ^nn++++=group
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
differences ^nns++++=differences
are ^vb+ber+aux++=are
likely ^jj+pred+++=likely
influenced ^vpsv++by+xvbn+=influenced
by ^in++++=by
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
the ^ati++++=the
populations ^nns++++=populations
of ^in++++=of
China ^np++++=China
and ^cc++++=and
India ^np++++=India;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
these ^dt+dem+++=these
populations ^nns++++=populations
are ^vb+ber+aux++=are
excluded ^vpsv++agls+xvbnx+=excluded
from ^in++++=from
the ^ati++++=the
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
incidence ^nn++++=incidence
and ^cc++++=and
mortality ^nn++++=mortality
rate ^nn++++=rate
ratios ^nns++++=ratios
decrease ^nn++++=decrease
to ^to++++=to
7.84 ^cd++++=7.84
and ^cc++++=and
23.24 ^cd++++=23.24,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lethality ^nn+++??+=lethality
rate ^nn++++=rate
ratio ^nn++++=ratio
remains ^nns++++=remains
consistent ^jj++++=consistent
regardless ^rb++++=regardless
of ^in++++=of
group ^nn++++=group
composition ^nn++++=composition.
. ^zz++++=EXTRAWORD
