Chlorhexidine ^np+++??+=Chlorhexidine
solution ^nn++++=solution
( ^zz++++=(0.12%)
0.12 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
proposed ^vpsv++agls+xvbnx+=proposed
for ^in++++=for
various ^jj+atrb+++=various
applications ^nns++++=applications,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
disinfection ^nn+++??+=disinfection
of ^in++++=of
toothbrushes ^nns+++??+=toothbrushes
and ^cc++++=and
the ^ati++++=the
elimination ^nn++++=elimination
of ^in++++=of
microorganisms ^nns+++??+=microorganisms
on ^in++++=on
pacifiers ^nns+++??+=pacifiers
[ ^zz++++=[3,9-11,28,29].
3,9 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
11,28,29 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
use ^nn++++=use
remains ^nns++++=remains
controversial ^jj++++=controversial,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
higher ^jjr+atrb+++=higher
cost ^nn++++=cost
compared ^vbd+++xvbn+=compared
to ^in++++=to
alternative ^jj+atrb+++=alternative
disinfection ^nn+++??+=disinfection
solutions ^nns++++=solutions.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
cost ^nn++++=cost-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
disadvantages ^nns++++=disadvantages
may ^md+pos+++=may
restrict ^vb++++=restrict
its ^pp$+it+++=its
widespread ^jj+atrb+++=widespread
adoption ^nn++++=adoption,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
among ^in++++=among
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
populations ^nns++++=populations
[ ^zz++++=[8,25].
8,25 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
