2 ^zz++++=2.
. ^zz++++=EXTRAWORD
Eye ^nn++++=Eye
and ^cc++++=and
face ^nn++++=face
protection ^nn++++=protection
should ^md+nec+++=should
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
at ^rb++++=at
all ^abn++++=all
times ^nns++++=times
when ^wrb+who+++=when
performing ^jj+++xvbg+=performing
Tct ^np+++??+=TCT
or ^cc+cls+++=or
when ^wrb+who+++=when
changing ^vbg+++xvbg+=changing
a ^at++++=a
Tct ^np+++??+=TCT
tube ^nn++++=tube,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
potential ^jj+atrb+++=potential
exposure ^nn++++=exposure
to ^in++++=to
respiratory ^jj+atrb+++=respiratory
secretions ^nns+++??+=secretions
or ^cc++++=or
other ^ap++++=other
body ^nn++++=body
fluids ^nns++++=fluids.
. ^zz++++=EXTRAWORD
any ^dti++++=Any
of ^in++++=of
the ^ati++++=the
following ^jj+atrb+++=following
options ^nns++++=options
are ^vb+ber+aux++=are
considered ^vbd+vprv++xvbn+=considered
appropriate ^jj++++=appropriate:
: ^zz++++=EXTRAWORD
