Despite ^in++++=Despite
these ^dt+dem+++=these
limitations ^nns++++=limitations,
, ^zz++++=EXTRAWORD
the ^ati++++=the
available ^jj+atrb+++=available
evidence ^nn++++=evidence
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
protective ^jj+atrb+++=protective
levels ^nns++++=levels
of ^in++++=of
natural ^jj+atrb+++=natural
herd ^nn++++=herd
immunity ^nn++++=immunity
to ^in++++=to
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
achieved ^vpsv++agls+xvbnx+=achieved
under ^in++++=under
the ^ati++++=the
current ^jj+atrb+++=current
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
policies ^nns++++=policies
in ^in++++=in
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
a ^at++++=a
viable ^jj+atrb+++=viable
target ^nn++++=target
for ^in++++=for
informing ^xvbg+++xvbg+=informing
short ^jj++++=short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
exit ^nn++++=exit
strategies ^nns+++??+=strategies.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
decisions ^nns++++=decisions
regarding ^in++++=regarding
the ^ati++++=the
relaxation ^nn++++=relaxation
of ^in++++=of
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
measures ^nns++++=measures
in ^in++++=in
the ^ati++++=the
near ^jj+atrb+++=near
term ^nn++++=term
should ^md+nec+++=should
primarily ^rb+down+++=primarily
be ^vb+be+aux++=be
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
capacity ^nn++++=capacity
of ^in++++=of
the ^ati++++=the
healthcare ^nn+++??+=healthcare
system ^nn++++=system
to ^to++++=to
manage ^vbi++++=manage
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
assumptions ^nns++++=assumptions
about ^in++++=about
population ^nn++++=population
immunity ^nn++++=immunity,
, ^zz++++=EXTRAWORD
until ^in++++=until
comprehensive ^jj++++=comprehensive,
, ^zz++++=EXTRAWORD
population ^nn++++=population-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
serological ^jj+atrb+++=serological
surveys ^nns++++=surveys
are ^vb+ber+aux++=are
conducted ^vpsv++agls+xvbnx+=conducted.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
surveys ^nns++++=surveys
should ^md+nec+++=should
be ^vb+be+aux++=be
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
assess ^vbi++++=assess
regional ^jj+atrb+++=regional
variations ^nns++++=variations
in ^in++++=in
herd ^nn++++=herd
immunity ^nn++++=immunity
within ^in++++=within
the ^ati++++=the
state ^nn++++=state
and ^cc++++=and
may ^md+pos+++=may
inform ^vb++++=inform
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
more ^rbr++++=more
localized ^nn+++??+=localized
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
into ^in++++=into
account ^nn++++=account
the ^ati++++=the
levels ^nns++++=levels
of ^in++++=of
natural ^jj+atrb+++=natural
immunity ^nn++++=immunity,
, ^zz++++=EXTRAWORD
population ^nn++++=population
vulnerability ^nn+++??+=vulnerability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
resources ^nns++++=resources
for ^in++++=for
testing ^xvbg+++xvbg+=testing
and ^cc++++=and
treatment ^nn++++=treatment
of ^in++++=of
severe ^jj+atrb+++=severe
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
