Operating ^vbg+++xvbg+=Operating
room ^nn++++=room
setup ^nn+++??+=setup:
: ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
personal ^jj+atrb+++=personal
protective ^jj+atrb+++=protective
equipment ^nn++++=equipment
( ^zz++++=(PPE)
ppe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
currently ^rb++++=currently
mandatory ^jj+pred+++=mandatory
for ^in++++=for
all ^abn++++=all
procedures ^nns++++=procedures
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
All ^abn++++=All
healthcare ^nn+++??+=healthcare
professionals ^nns++++=professionals
involved ^vbd+++xvbn+=involved
in ^in++++=in
surgical ^jj+atrb+++=surgical
procedures ^nns++++=procedures
are ^vb+ber+aux++=are
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
wear ^vbi++++=wear
hats ^nns++++=hats,
, ^zz++++=EXTRAWORD
goggles ^nns++++=goggles,
, ^zz++++=EXTRAWORD
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
N95 ^np+++??+=N95
masks ^vbz++++=masks,
, ^zz++++=EXTRAWORD
face ^nn++++=face
shields ^nns++++=shields,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
standard ^jj+atrb+++=standard
sterile ^jj+atrb+++=sterile
garments ^nns++++=garments
used ^vwbn+++xvbn+=used
by ^in++++=by
the ^ati++++=the
surgical ^jj+atrb+++=surgical
team ^nn++++=team.
. ^zz++++=EXTRAWORD
Whenever ^wrb+who+++=Whenever
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
procedures ^nns++++=procedures
should ^md+nec+++=should
be ^vb+be+aux++=be
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
rooms ^nns++++=rooms
with ^in++++=with
negative ^jj+atrb+++=negative
pressure ^nn++++=pressure.
. ^zz++++=EXTRAWORD
Airway ^np+++??+=Airway
induction ^nn++++=induction
and ^cc++++=and
intubation ^nn+++??+=intubation
should ^md+nec+++=should
be ^vb+be+aux++=be
performed ^vpsv++agls+xvbnx+=performed
only ^rb+down+++=only
by ^in++++=by
the ^ati++++=the
anesthesiologist ^nn+++??+=anesthesiologist
and ^cc++++=and
an ^at++++=an
assisting ^jj+atrb++xvbg+=assisting
nurse ^nn++++=nurse,
, ^zz++++=EXTRAWORD
minimizing ^vbg+++xvbg+=minimizing
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
personnel ^nns++++=personnel
present ^nn++++=present
in ^in++++=in
the ^ati++++=the
operating ^jj+atrb++xvbg+=operating
room ^nn++++=room
during ^in++++=during
this ^dt+dem+++=this
high ^jj++++=high-risk
- ^zz++++=EXTRAWORD
risk ^vb++++=EXTRAWORD
phase ^nn++++=phase.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
airway ^nn++++=airway
is ^vbz+bez+aux++=is
secured ^vpsv++agls+xvbnx+=secured
and ^cc++++=and
the ^ati++++=the
patient ^nn++++=patient
is ^vbz+bez+aux++=is
connected ^vpsv++agls+xvbnx+=connected
to ^in++++=to
the ^ati++++=the
ventilatory ^nn+++??+=ventilatory
system ^nn++++=system,
, ^zz++++=EXTRAWORD
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
surgical ^jj+atrb+++=surgical
team ^nn++++=team
may ^md+pos+++=may
enter ^vb++++=enter
the ^ati++++=the
operating ^jj+atrb++xvbg+=operating
room ^nn++++=room
to ^in++++=to
position ^nn++++=position
the ^ati++++=the
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
prepare ^vb++++=prepare
the ^ati++++=the
surgical ^jj+atrb+++=surgical
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carry ^vb++++=carry
out ^rp+pl+++=out
any ^dti++++=any
additional ^jj+atrb+++=additional
tasks ^nns++++=tasks
necessary ^jj++++=necessary
for ^in++++=for
the ^ati++++=the
procedure ^nn++++=procedure.
. ^zz++++=EXTRAWORD
