Human ^jj++++=Human-to-human
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
human ^jj+atrb+++=EXTRAWORD
transmission ^nn++++=transmission
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
occurs ^vbz++++=occurs
predominantly ^rb++++=predominantly
among ^in++++=among
individuals ^nns++++=individuals
with ^in++++=with
close ^jj+atrb+++=close
contact ^nn++++=contact,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
family ^nn++++=family
members ^nns++++=members,
, ^zz++++=EXTRAWORD
relatives ^nns++++=relatives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
including ^in++++=including
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
in ^in++++=in
contact ^nn++++=contact
with ^in++++=with
infected ^vbd+++xvbn+=infected
or ^cc++++=or
asymptomatic ^nn+++??+=asymptomatic
individuals ^nns++++=individuals.
. ^zz++++=EXTRAWORD
As ^in++++=As
an ^at++++=an
emerging ^jj+++xvbg+=emerging
acute ^jj+atrb+++=acute
respiratory ^jj+atrb+++=respiratory
infectious ^nns+++??+=infectious
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
transmitted ^vpsv++agls+xvbnx+=transmitted
via ^in++++=via
respiratory ^jj+atrb+++=respiratory
tract ^nn++++=tract
pathways ^nns+++??+=pathways,
, ^zz++++=EXTRAWORD
including ^in++++=including
droplets ^nns++++=droplets,
, ^zz++++=EXTRAWORD
respiratory ^jj+atrb+++=respiratory
secretions ^nns+++??+=secretions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
direct ^jj+atrb+++=direct
contact ^nn++++=contact,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can
occur ^vb++++=occur
even ^rb++++=even
at ^rb++++=at
low ^jj+atrb+++=low
infectious ^nns+++??+=infectious
doses ^nns++++=doses.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
detection ^nn++++=detection
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
in ^in++++=in
fecal ^nn+++??+=fecal
and ^cc++++=and
blood ^nn++++=blood
samples ^nns++++=samples
suggests ^vbz+vpub+++=suggests
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
multiple ^jj+atrb+++=multiple
routes ^nns++++=routes
of ^in++++=of
transmission ^nn++++=transmission.
. ^zz++++=EXTRAWORD
