Ventilation ^nn++++=Ventilation
should ^md+nec+++=should
be ^vb+be+aux++=be
discontinued ^vpsv++agls+xvbnx+=discontinued
prior ^in+cmpx+++=prior
to ^in++++=to
tracheostomy ^nn+++??+=tracheostomy
insertion ^nn++++=insertion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tracheostomy ^nn+++??+=tracheostomy
tube ^nn++++=tube
should ^md+nec+++=should
be ^vb+be+aux++=be
placed ^vpsv++agls+xvbnx+=placed
rapidly ^rb++++=rapidly
and ^cc+phrs+++=and
accurately ^rb+cnj+++=accurately,
, ^zz++++=EXTRAWORD
followed ^vbd+vprv++xvbn+=followed
by ^in++++=by
immediate ^jj+atrb+++=immediate
inflation ^nn++++=inflation
of ^in++++=of
the ^ati++++=the
cuff ^nn++++=cuff.
. ^zz++++=EXTRAWORD
