During ^in++++=During
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
access ^nn++++=access
to ^in++++=to
accurate ^jj+atrb+++=accurate
safety ^nn++++=safety
information ^nn++++=information
and ^cc++++=and
guidance ^nn++++=guidance
is ^vbz+bez+vrb++=is
essential ^nn++++=essential.
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
with ^in++++=with
inflammatory ^jj+atrb+++=inflammatory
bowel ^nn++++=bowel
disease ^nn++++=disease
( ^zz++++=(IBD)
ibd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
may ^md+pos+++=may
have ^vb+hv+vrb++=have
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
complications ^nns++++=complications
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
both ^abx++++=both
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
chronic ^jj+atrb+++=chronic
condition ^nn++++=condition
and ^cc++++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
immunosuppressive ^nn+++??+=immunosuppressive
therapies ^nns+++??+=therapies.
. ^zz++++=EXTRAWORD
In ^in++++=In
response ^nn++++=response
to ^in++++=to
these ^dt+dem+++=these
circumstances ^nns++++=circumstances,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
group ^nn++++=group
has ^vbz+hvz+aux++=has
modified ^vprf+++xvbnx+=modified
Ibd ^np+++??+=IBD
care ^nn++++=care
by ^in++++=by
reprioritizing ^nn+++??+=reprioritizing
clinical ^jj+atrb+++=clinical
objectives ^nns++++=objectives,
, ^zz++++=EXTRAWORD
disseminating ^nn+++??+=disseminating
relevant ^jj+atrb+++=relevant
information ^nn++++=information
to ^in++++=to
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ensuring ^vbg+vprv++xvbg+=ensuring
the ^ati++++=the
continuity ^nn++++=continuity
of ^in++++=of
necessary ^jj+atrb+++=necessary
treatments ^nns++++=treatments.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
also ^rb++++=also
important ^jj+pred+++=important
to ^to+jcmp+++=to
recognize ^vbi+vprv+++=recognize
that ^tht+vcmp+++=that
in ^in++++=in
developing ^xvbg+++xvbg+=developing
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
a ^at++++=a
substantial ^jj+atrb+++=substantial
proportion ^nn++++=proportion
of ^in++++=of
the ^ati++++=the
population ^nn++++=population
resides ^nns+++??+=resides
in ^in++++=in
conditions ^nns++++=conditions
characterized ^nn+++??+=characterized
by ^in++++=by
overcrowding ^nn++++=overcrowding,
, ^zz++++=EXTRAWORD
informal ^jj+atrb+++=informal
housing ^nn++++=housing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inadequate ^jj+atrb+++=inadequate
sanitation ^nn++++=sanitation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
require ^vb+vsua+++=require
targeted ^jj+atrb++??+=targeted
interventions ^nns++++=interventions
and ^cc++++=and
adaptive ^nn+++??+=adaptive
strategies ^nns+++??+=strategies
from ^in++++=from
health ^nn++++=health
authorities ^nns++++=authorities.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
for ^in++++=for
Ibd ^np+++??+=IBD
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
individualized ^nn+++??+=individualized
treatment ^nn++++=treatment
approaches ^nns++++=approaches
are ^vb+ber+vrb++=are
essential ^nn++++=essential,
, ^zz++++=EXTRAWORD
with ^in++++=with
careful ^jj+atrb+++=careful
consideration ^nn++++=consideration
of ^in++++=of
both ^abx++++=both
potential ^jj+atrb+++=potential
benefits ^nns++++=benefits
and ^cc++++=and
risks ^nns++++=risks.
. ^zz++++=EXTRAWORD
