The ^ati++++=The
Trophic ^np+++??+=Trophic
State ^nn++++=State
Index ^nn++++=Index
( ^zz++++=(TSI)
tsi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
effectively ^rb++++=effectively
reflected ^vbd+vprv++xvbn+=reflected
the ^ati++++=the
susceptibility ^nn++++=susceptibility
of ^in++++=of
this ^dt+dem+++=this
shallow ^jj+atrb+++=shallow
tropical ^jj+atrb+++=tropical
reservoir ^nn++++=reservoir
to ^in++++=to
inappropriate ^jj+atrb+++=inappropriate
management ^nn++++=management
practices ^nns++++=practices
( ^zz++++=(Bicudo
bicudo ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2007 ^cd++++=2007)
) ^zz++++=EXTRAWORD
and ^cc++++=and
demonstrated ^vbd+vprv++xvbn+=demonstrated
the ^ati++++=the
persistent ^jj+atrb+++=persistent
adverse ^jj+atrb+++=adverse
impact ^nn++++=impact
of ^in++++=of
self ^nn++++=self-eutrophication
- ^zz++++=EXTRAWORD
eutrophication ^nn+++??+=EXTRAWORD
on ^in++++=on
ecosystem ^nn+++??+=ecosystem
recovery ^nn++++=recovery
( ^zz++++=(Jeppesen
jeppesen ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Tsi ^np+++??+=TSI
was ^vbd+bedz+vrb++=was
responsive ^jj+pred+++=responsive
to ^in++++=to
significant ^jj+atrb+++=significant
historical ^jj+atrb+++=historical
events ^nns++++=events
associated ^vwbn+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
regulation ^nn++++=regulation
of ^in++++=of
sewage ^nn++++=sewage
effluent ^nn++++=effluent
discharges ^nns++++=discharges.
. ^zz++++=EXTRAWORD
