There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
an ^at++++=an
urgent ^jj+atrb+++=urgent
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
identify ^vb++++=identify
effective ^jj+atrb+++=effective
interventions ^nns++++=interventions
to ^to++++=to
prevent ^vbi++++=prevent
the ^ati++++=the
progression ^nn++++=progression
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease
and ^cc++++=and
reduce ^vb++++=reduce
the ^ati++++=the
burden ^nn++++=burden
on ^in++++=on
healthcare ^nn+++??+=healthcare
systems ^nns++++=systems.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
substantial ^jj+atrb+++=substantial
research ^nn++++=research
efforts ^nns++++=efforts
focused ^vbd+++xvbn+=focused
on ^in++++=on
pharmacological ^jj+atrb+++=pharmacological
interventions ^nns++++=interventions,
, ^zz++++=EXTRAWORD
none ^pn++++=none
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
proven ^vbd+vprv++xvbn+=proven
efficacy ^nn++++=efficacy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+aux++=is
to ^to++++=to
compare ^vbi++++=compare
the ^ati++++=the
effectiveness ^nn++++=effectiveness
and ^cc++++=and
safety ^nn++++=safety
of ^in++++=of
various ^jj+atrb+++=various
pharmacological ^jj+atrb+++=pharmacological
treatments ^nns++++=treatments
for ^in++++=for
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
document ^nn++++=document
outlines ^nns++++=outlines
the ^ati++++=the
protocol ^nn++++=protocol
for ^in++++=for
our ^pp$+pp1+++=our
rapid ^jj+atrb+++=rapid
living ^jj+atrb+++=living
systematic ^jj+atrb+++=systematic
review ^nn++++=review.
. ^zz++++=EXTRAWORD
