Based ^xvbn+++xvbn+=Based
on ^in++++=on
pre ^nn+++??+=pre-specified
- ^zz++++=EXTRAWORD
specified ^jj+atrb++xvbn+=EXTRAWORD
eligibility ^nn++++=eligibility
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
two ^cd++++=two
authors ^nns++++=authors
( ^zz++++=(ACPNP
acpnp ^nn+++??+=EXTRAWORD
and ^cc++++=and
Apr ^np+++??+=APR)
) ^zz++++=EXTRAWORD
will ^md+prd+++=will
independently ^rb++++=independently
select ^jj+atrb+++=select
studies ^nns++++=studies
for ^in++++=for
inclusion ^nn++++=inclusion
in ^in++++=in
the ^ati++++=the
review ^nn++++=review.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
duplicate ^jj+atrb+++=duplicate
studies ^nns++++=studies
are ^vb+ber+aux++=are
identified ^vpsv++agls+xvbnx+=identified
across ^in+pl+++=across
multiple ^jj+atrb+++=multiple
databases ^nns+++??+=databases,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
one ^cd1++++=one
instance ^nn++++=instance
will ^md+prd+++=will
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
for ^in++++=for
inclusion ^nn++++=inclusion.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
multiple ^jj+atrb+++=multiple
reports ^nns++++=reports
are ^vb+ber+aux++=are
identified ^vpsv++agls+xvbnx+=identified
that ^dt+dem+++=that
use ^nn++++=use
the ^ati++++=the
same ^ap++++=same
participants ^nns++++=participants
but ^cc++++=but
assess ^vb++++=assess
different ^jj+atrb+++=different
outcomes ^nns+++??+=outcomes
or ^cc++++=or
use ^nn++++=use
different ^jj+atrb+++=different
assessment ^nn++++=assessment
time ^nn++++=time
points ^nns++++=points,
, ^zz++++=EXTRAWORD
both ^abx++++=both
reports ^nns++++=reports
will ^md+prd+++=will
be ^vb+be+aux++=be
included ^vpsv++agls+xvbnx+=included
and ^cc+phrs+++=and
treated ^vbd+++xvbn+=treated
as ^ql++++=as
components ^nns++++=components
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
study ^nn++++=study.
. ^zz++++=EXTRAWORD
In ^in++++=In
cases ^nns++++=cases
where ^wrb+who+++=where
duplicate ^vb++++=duplicate
reports ^nns++++=reports
are ^vb+ber+aux++=are
found ^vpsv++agls+xvbnx+=found
with ^in++++=with
identical ^jj+atrb+++=identical
participants ^nns++++=participants,
, ^zz++++=EXTRAWORD
outcome ^nn++++=outcome
measurements ^nns++++=measurements,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
assessment ^nn++++=assessment
time ^nn++++=time
points ^nns++++=points,
, ^zz++++=EXTRAWORD
the ^ati++++=the
report ^nn++++=report
with ^in++++=with
the ^ati++++=the
smaller ^jjr+atrb+++=smaller
sample ^nn++++=sample
size ^nn++++=size
will ^md+prd+++=will
be ^vb+be+aux++=be
excluded ^vpsv++agls+xvbnx+=excluded.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
removing ^nn++++=removing
duplicate ^vb++++=duplicate
studies ^nns++++=studies
and ^cc++++=and
reports ^nns++++=reports,
, ^zz++++=EXTRAWORD
the ^ati++++=the
authors ^nns++++=authors
will ^md+prd+++=will
screen ^vb++++=screen
study ^nn++++=study
titles ^nns++++=titles
and ^cc++++=and
abstracts ^nns+++??+=abstracts,
, ^zz++++=EXTRAWORD
excluding ^vbg+++xvbg+=excluding
those ^dt+dem+++=those
that ^cs+sub+++=that
clearly ^rb++++=clearly
do ^vb+do+aux++=do
not ^xnot++not++=not
meet ^vb++++=meet
the ^ati++++=the
inclusion ^nn++++=inclusion
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
The ^ati++++=The
remaining ^jj+atrb++xvbg+=remaining
studies ^nns++++=studies
will ^md+prd+++=will
undergo ^vb++++=undergo
full ^jj++++=full-text
- ^zz++++=EXTRAWORD
text ^nn++++=EXTRAWORD
review ^nn++++=review,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reasons ^nns++++=reasons
for ^in++++=for
exclusion ^nn++++=exclusion
at ^in++++=at
this ^dt+dem+++=this
stage ^nn++++=stage
will ^md+prd+++=will
be ^vb+be+aux++=be
documented ^vpsv++agls+xvbnx+=documented.
. ^zz++++=EXTRAWORD
Any ^dti++++=Any
disagreements ^nns++++=disagreements
regarding ^in++++=regarding
study ^nn++++=study
inclusion ^nn++++=inclusion
will ^md+prd+++=will
be ^vb+be+aux++=be
resolved ^vpsv++by+xvbnx+=resolved
by ^in++++=by
a ^at++++=a
third ^nn++++=third
author ^nn++++=author
( ^zz++++=(ANA).
ana ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Rayyan ^np+++??+=Rayyan
application ^nn++++=application
will ^md+prd+++=will
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^to++++=to
facilitate ^vb++++=facilitate
the ^ati++++=the
screening ^nn++++=screening
and ^cc++++=and
selection ^nn++++=selection
process ^nn++++=process.
. ^zz++++=EXTRAWORD
