Among ^in++++=Among
the ^ati++++=the
seven ^cd++++=seven
studies ^nns++++=studies
included ^vbd+++xvbn+=included,
, ^zz++++=EXTRAWORD
five ^cd++++=five
were ^vbd+bed+aux++=were
assessed ^vpsv++agls+xvbnx+=assessed
as ^ql++++=as
having ^jj+++xvbg+=having
a ^at++++=a
low ^jj+atrb+++=low
risk ^nn++++=risk
of ^in++++=of
bias ^nn++++=bias
[ ^zz++++=[3,8,9,11,13],
3,8,9,11,13 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
two ^cd++++=two
were ^vbd+bed+aux++=were
determined ^jj++agls+xvbnx+=determined
to ^to+jcmp+++=to
have ^vbi++vrb++=have
a ^at++++=a
medium ^jjb+atrb+++=medium
risk ^nn++++=risk
of ^in++++=of
bias ^nn++++=bias
[ ^zz++++=[10,15]
10,15 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
studies ^nns++++=studies
did ^vbd+dod+aux++=did
not ^xnot++not++=not
use ^vb++++=use
sterile ^jj+atrb+++=sterile
water ^nn++++=water
as ^in++++=as
a ^at++++=a
control ^nn++++=control
material ^nn++++=material;
; ^zz++++=EXTRAWORD
these ^dt+dem+++=these
studies ^nns++++=studies
also ^rb++++=also
employed ^vbd+++xvbn+=employed
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
disinfection ^nn+++??+=disinfection
method ^nn++++=method
in ^in++++=in
their ^pp$+pp3+++=their
experimental ^jj+atrb+++=experimental
protocols ^nns++++=protocols.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
one ^cd1++++=one
study ^nn++++=study
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
free ^jj+pred+++=free
of ^in++++=of
bias ^nn++++=bias
upon ^in++++=upon
analysis ^nn++++=analysis
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
