There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
evidence ^nn++++=evidence
that ^tht+rel+++=that
laparoscopic ^nn+++??+=laparoscopic
procedures ^nns++++=procedures
can ^md+pos+++=can
generate ^vb++++=generate
aerosols ^nns+++??+=aerosols
containing ^vwbg+++xvbg+=containing
viral ^nn+++??+=viral
particles ^nns++++=particles.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
remains ^nns++++=remains
unclear ^nn+++??+=unclear
whether ^cs+who+++=whether
conventional ^jj+atrb+++=conventional
open ^jj+atrb+++=open
surgical ^jj+atrb+++=surgical
procedures ^nns++++=procedures
are ^vb+ber+vrb++=are
safer ^jjr+pred+++=safer
than ^in++++=than
laparoscopic ^nn+++??+=laparoscopic
approaches ^nns++++=approaches
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Devices ^nns++++=Devices
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Airseal ^np+++??+=AirSeal
ifs ^nns+++??+=iFS
System ^nn++++=System
and ^cc++++=and
the ^ati++++=the
Laparoshield ^np+++??+=Laparoshield
Laparoscopic ^np+++??+=Laparoscopic
Smoke ^nn++++=Smoke
Filtration ^np+++??+=Filtration
System ^nn++++=System
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
developed ^vpsv++agls+xvbnx+=developed
and ^cc+phrs+++=and
approved ^vpsv++agls+xvbn+=approved
for ^in++++=for
use ^nn++++=use
in ^in++++=in
filtering ^xvbg+++xvbg+=filtering
surgical ^jj+atrb+++=surgical
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
aim ^nn++++=aim
of ^in++++=of
removing ^xvbg+++xvbg+=removing
particles ^nns++++=particles,
, ^zz++++=EXTRAWORD
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
viruses ^nns++++=viruses.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
currently ^rb++++=currently
no ^at++++=no
studies ^nns++++=studies
demonstrating ^vwbg+++xvbg+=demonstrating
their ^pp$+pp3+++=their
effectiveness ^nn++++=effectiveness
specifically ^rb++++=specifically
against ^in++++=against
Sars ^np+++??+=SARS-CoV-2.
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
these ^dt+dem+++=these
devices ^nns++++=devices
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
limited ^vwbn+++xvbn+=limited.
. ^zz++++=EXTRAWORD
