Microwave ^nn++++=Microwave
irradiation ^nn++++=irradiation
represents ^vbz++++=represents
another ^dt++++=another
protocol ^nn++++=protocol
for ^in++++=for
pacifier ^nn+++??+=pacifier
disinfection ^nn+++??+=disinfection.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
method ^nn++++=method
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
optional ^nn+++??+=optional
and ^cc++++=and
straightforward ^jj++++=straightforward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
eliminate ^vbi++++=eliminate
or ^cc+phrs+++=or
reduce ^vb++++=reduce
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
pathogenic ^nn+++??+=pathogenic
microorganisms ^nns+++??+=microorganisms
on ^in++++=on
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
pacifiers ^nns+++??+=pacifiers
[ ^zz++++=[15].
15 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
its ^pp$+it+++=its
effectiveness ^nn++++=effectiveness
not ^xnot++not++=not
only ^rb+down+++=only
for ^in++++=for
pacifiers ^nns+++??+=pacifiers
but ^cc++++=but
also ^rb++++=also
for ^in++++=for
disinfecting ^nn+++??+=disinfecting
other ^ap++++=other
dental ^jj+atrb+++=dental
materials ^nns++++=materials,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
orthodontic ^vb+++??+=orthodontic
instruments ^nns++++=instruments
[ ^zz++++=[32].
32 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
a ^at++++=a
microwave ^nn++++=microwave
at ^in++++=at
power ^nn++++=power
level ^nn++++=level
7 ^zz++++=7
( ^zz++++=(equivalent
equivalent ^jj++++=EXTRAWORD
to ^to++++=to
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
of ^in++++=of
total ^jj+atrb+++=total
power ^nn++++=power)
) ^zz++++=EXTRAWORD
for ^in++++=for
7 ^zz++++=7
minutes ^nns++++=minutes
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
be ^vbi++vrb++=be
effective ^jj+pred+++=effective
in ^in++++=in
disinfecting ^nn+++??+=disinfecting
pacifiers ^nns+++??+=pacifiers
contaminated ^vbd+++xvbn+=contaminated
with ^in++++=with
S ^zz++++=S.
. ^zz++++=EXTRAWORD
mutans ^nns+++??+=mutans
and ^cc++++=and
C ^zz++++=C.
. ^zz++++=EXTRAWORD
albicans ^nns+++??+=albicans
[ ^zz++++=[3,8].
3,8 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
disinfection ^nn+++??+=disinfection
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
achieved ^vpsv++agls+xvbnx+=achieved
using ^vbg+++xvbg+=using
a ^at++++=a
microwave ^nn++++=microwave
at ^in++++=at
full ^jj+atrb+++=full
power ^nn++++=power
for ^in++++=for
5 ^zz++++=5
minutes ^nns++++=minutes
[ ^zz++++=[15].
15 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
efficacy ^nn++++=efficacy
of ^in++++=of
this ^dt+dem+++=this
method ^nn++++=method
should ^md+nec+++=should
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
with ^in++++=with
caution ^nn++++=caution
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
variations ^vb++++=variations
in ^in++++=in
power ^nn++++=power
settings ^nns++++=settings
and ^cc++++=and
differences ^nns++++=differences
among ^in++++=among
microwave ^nn++++=microwave
models ^nns++++=models.
. ^zz++++=EXTRAWORD
