Health ^nn++++=Health
professionals ^nns++++=professionals
working ^vwbg+++xvbg+=working
in ^in++++=in
emergency ^nn++++=emergency
rooms ^nns++++=rooms
or ^cc++++=or
with ^in++++=with
acute ^jj+atrb+++=acute
care ^nn++++=care
patients ^nns++++=patients
must ^md+nec+++=must
modify ^vb++++=modify
their ^pp$+pp3+++=their
procedures ^nns++++=procedures
to ^in++++=to
minimize ^nn+++??+=minimize
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
contamination ^nn++++=contamination
and ^cc++++=and
disease ^nn++++=disease
transmission ^nn++++=transmission.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
of ^in++++=of
early ^jj+atrb+++=early
March ^nr++++=March,
, ^zz++++=EXTRAWORD
China ^np++++=China
reported ^vbd+vpub++xvbn+=reported
over ^in++++=over
3,300 ^cd++++=3,300
infected ^vbd+++xvbn+=infected
healthcare ^nn+++??+=healthcare
workers ^nns++++=workers
and ^cc++++=and
at ^in++++=at
least ^ql++++=least
22 ^cd++++=22
related ^xvbn+++xvbn+=related
deaths ^nns++++=deaths.
. ^zz++++=EXTRAWORD
Adherence ^nn++++=Adherence
to ^in++++=to
protective ^jj+atrb+++=protective
guidelines ^nns+++??+=guidelines
for ^in++++=for
invasive ^nn+++??+=invasive
procedures ^nns++++=procedures
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
emergency ^nn++++=emergency
professionals ^nns++++=professionals
and ^cc++++=and
surgeons ^nns++++=surgeons
during ^in++++=during
this ^dt+dem+++=this
period ^nn++++=period.
. ^zz++++=EXTRAWORD
