This ^dt+pdem+++=This
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
approximately ^rb+down+++=approximately
34.97 ^cd++++=34.97%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
systematic ^jj+atrb+++=systematic
variation ^nn++++=variation
in ^in++++=in
foreign ^jj+atrb+++=foreign
direct ^jj+atrb+++=direct
investment ^nn++++=investment
( ^zz++++=(FDI)
fdi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
the ^ati++++=the
explanatory ^jj+atrb+++=explanatory
variables ^nns++++=variables
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
model ^nn++++=model,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
65.03 ^cd++++=65.03%
% ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
attributable ^jj+pred+++=attributable
to ^in++++=to
other ^ap++++=other
factors ^nns++++=factors
not ^xnot++not++=not
accounted ^vbd+++xvbn+=accounted
for ^in+ppvb+++=for
in ^in++++=in
the ^ati++++=the
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overall ^jjb+atrb+++=overall
model ^nn++++=model
demonstrates ^vbz+vpub+++=demonstrates
weak ^jj+atrb+++=weak
statistical ^jj+atrb+++=statistical
significance ^nn++++=significance
in ^in++++=in
assessing ^xvbg+++xvbg+=assessing
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
the ^ati++++=the
selected ^jj+atrb+++=selected
macroeconomic ^nn++++=macroeconomic
variables ^nns++++=variables
on ^in++++=on
investment ^nn++++=investment
inflows ^nns++++=inflows
in ^in++++=in
turkey ^nn++++=Turkey.
. ^zz++++=EXTRAWORD
