Time ^nn++++=Time
spent ^vbd+++xvbn+=spent
in ^in++++=in
moderate ^jj++++=moderate-to-vigorous
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
vigorous ^jj+atrb+++=EXTRAWORD
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(MVPA)
mvpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
assessed ^vpsv++agls+xvbnx+=assessed
using ^vbg+++xvbg+=using
two ^cd++++=two
questions ^nns++++=questions:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
How ^wrb+who+++=How
much ^ap++++=much
time ^nn++++=time
on ^in++++=on
an ^at++++=an
average ^jj+atrb+++=average
day ^nn++++=day
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
spent ^vbd+++xvbn+=spent
in ^in++++=in
vigorous ^jj+atrb+++=vigorous
physical ^jj+atrb+++=physical
activity ^nn++++=activity
since ^cs+sub+++=since
self ^nn++++=self-isolating?
- ^zz++++=EXTRAWORD
isolating ^vbg+++xvbg+=EXTRAWORD
? ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
How ^wrb+who+++=How
much ^ap++++=much
time ^nn++++=time
on ^in++++=on
an ^at++++=an
average ^jj+atrb+++=average
day ^nn++++=day
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
spent ^vbd+++xvbn+=spent
in ^in++++=in
moderate ^jj+atrb+++=moderate
physical ^jj+atrb+++=physical
activity ^nn++++=activity
since ^cs+sub+++=since
self ^nn++++=self-isolating?
- ^zz++++=EXTRAWORD
isolating ^vbg+++xvbg+=EXTRAWORD
? ^zz++++=EXTRAWORD
Each ^dt++++=Each
question ^nn++++=question
was ^vbd+bedz+aux++=was
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
definitions ^nns++++=definitions
specifying ^vwbg+++xvbg+=specifying
that ^cs+sub+++=that
vigorous ^jj+atrb+++=vigorous
physical ^jj+atrb+++=physical
activities ^nns++++=activities
require ^vb+vsua+++=require
substantial ^jj+atrb+++=substantial
physical ^jj+atrb+++=physical
effort ^nn++++=effort
and ^cc++++=and
result ^nn++++=result
in ^in++++=in
breathing ^xvbg+++xvbg+=breathing
much ^ap++++=much
harder ^jjr++++=harder
than ^in++++=than
normal ^jj++++=normal,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
moderate ^jj+atrb+++=moderate
activities ^nns++++=activities
require ^vb+vsua+++=require
moderate ^jj+atrb+++=moderate
physical ^jj+atrb+++=physical
effort ^nn++++=effort
and ^cc++++=and
cause ^nn++++=cause
breathing ^vwbg+++xvbg+=breathing
to ^to++++=to
be ^vbi++vrb++=be
somewhat ^rb+down+++=somewhat
harder ^jjr+pred+++=harder
than ^in++++=than
normal ^nn++++=normal.
. ^zz++++=EXTRAWORD
For ^in++++=For
