Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
descriptive ^jj+atrb+++=descriptive
statistics ^nn++++=statistics
for ^in++++=for
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lethality ^nn+++??+=lethality
rates ^nns++++=rates
for ^in++++=for
each ^dt++++=each
group ^nn++++=group
of ^in++++=of
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
Incidence ^nn++++=Incidence
and ^cc++++=and
mortality ^nn++++=mortality
rates ^nns++++=rates
are ^vb+ber+aux++=are
reported ^vpsv++agls+xvbnx+=reported
per ^nnu++++=per
100,000 ^cd++++=100,000
inhabitants ^nns++++=inhabitants,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
lethality ^nn++++=lethality
rates ^nns++++=rates
are ^vb+ber+aux++=are
reported ^vpsv++agls+xvbn+=reported
per ^nnu++++=per
100 ^cd++++=100
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
