Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
no ^at++++=no
specific ^jj+atrb+++=specific
guidelines ^nns+++??+=guidelines
identifying ^vwbg+++xvbg+=identifying
which ^whp+who+++=which
patients ^nns++++=patients
with ^in++++=with
inflammatory ^jj+atrb+++=inflammatory
bowel ^nn++++=bowel
disease ^nn++++=disease
( ^zz++++=(IBD)
ibd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
most ^ql+emph+++=most
likely ^jj++++=likely
to ^to+jcmp+++=to
benefit ^vb++++=benefit
from ^in++++=from
surgical ^jj+atrb+++=surgical
intervention ^nn++++=intervention
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
as ^ql++++=as
international ^jj+atrb+++=international
Ibd ^np+++??+=IBD
societies ^nns++++=societies
have ^vb+hv+vrb++=have
not ^xnot++not++=not
issued ^jj+atrb++xvbn+=issued
recommendations ^nns++++=recommendations
specifically ^rb++++=specifically
addressing ^vbg+++xvbg+=addressing
surgical ^jj+atrb+++=surgical
management ^nn++++=management.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
clinical ^jj+atrb+++=clinical
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^xvbg+++xvbg+=EXTRAWORD
relies ^vbz++++=relies
primarily ^rb+down+++=primarily
on ^in++++=on
the ^ati++++=the
medical ^jj+atrb+++=medical
judgment ^nn++++=judgment
of ^in++++=of
healthcare ^nn++++=healthcare
professionals ^nns++++=professionals.
. ^zz++++=EXTRAWORD
