Several ^ap++++=Several
studies ^nns++++=studies
have ^vb+hv+aux++=have
investigated ^vprf+++xvbnx+=investigated
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
vitamin ^nn++++=vitamin
supplementation ^nn+++??+=supplementation
in ^in++++=in
controlling ^xvbg+++xvbg+=controlling
viral ^nn+++??+=viral
replication ^nn+++??+=replication
( ^zz++++=(29).
29 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
randomized ^vb+++??+=randomized
controlled ^vbd+++xvbn+=controlled
trials ^nns++++=trials
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context
are ^vb+ber+aux++=are
lacking ^vbg+++xvbgx+=lacking,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
continued ^vprf+++xvbnx+=continued
to ^to++++=to
administer ^vbi++++=administer
vitamin ^nn++++=vitamin
D ^zz++++=D
supplementation ^nn+++??+=supplementation
and ^cc++++=and
provide ^vb+vsua+++=provide
iron ^nn++++=iron
replacement ^nn++++=replacement
therapy ^nn++++=therapy
to ^in++++=to
our ^pp$+pp1+++=our
patients ^nns++++=patients
with ^in++++=with
inflammatory ^jj+atrb+++=inflammatory
bowel ^nn++++=bowel
disease ^nn++++=disease
when ^wrb+who+++=when
iron ^nn++++=iron-deficiency
- ^zz++++=EXTRAWORD
deficiency ^nn++++=EXTRAWORD
anemia ^nn++++=anemia
is ^vbz+bez+aux++=is
identified ^vpsv++agls+xvbn+=identified.
. ^zz++++=EXTRAWORD
