A ^at++++=A
method ^nn++++=method
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed
in ^in++++=in
which ^whp+rel+pied++=which
Rna ^np+++??+=RNA
sequences ^nns++++=sequences
of ^in++++=of
a ^at++++=a
specified ^jj+++xvbn+=specified
length ^rb++++=length
were ^vbd+bed+aux++=were
extracted ^vpsv++agls+xvbnx+=extracted
and ^cc+phrs+++=and
compared ^vpsv++agls+xvbn+=compared
to ^in++++=to
sequences ^nns++++=sequences
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
length ^nn++++=length
within ^in++++=within
the ^ati++++=the
complete ^jj+atrb+++=complete
genome ^nn+++??+=genome.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
technique ^nn++++=technique
has ^vbz+hvz+aux++=has
previously ^rb+tm+++=previously
been ^vprf+ben+vrb+xvbn+=been
applied ^jj+pred+++=applied
to ^to++++=to
other ^ap++++=other
microorganisms ^nns++++=microorganisms
[ ^zz++++=[2],[3],[4].
2],[3],[4 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
