Brushtox ^np+++??+=Brushtox
is ^vbz+bez+vrb++=is
a ^at++++=a
solution ^nn++++=solution
containing ^vwbg+++xvbg+=containing
activated ^nn+++??+=activated
ethanol ^nn+++??+=ethanol
( ^zz++++=(40%
40 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
v ^zz++++=v/v)
and ^cc++++=and
a ^at++++=a
biocide ^nn+++??+=biocide
( ^zz++++=(parabens)
parabens ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
effective ^jj++++=effective
for ^in++++=for
the ^ati++++=the
decontamination ^nn++++=decontamination
of ^in++++=of
toothbrushes ^nns+++??+=toothbrushes
from ^in++++=from
bacteria ^nns++++=bacteria
and ^cc++++=and
fungi ^nns++++=fungi
[ ^zz++++=[23].
23 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
efficacy ^nn++++=efficacy
in ^in++++=in
pacifier ^nn+++??+=pacifier
decontamination ^nn++++=decontamination
remains ^nns++++=remains
controversial ^jj++++=controversial,
, ^zz++++=EXTRAWORD
as ^ql++++=as
both ^abx++++=both
positive ^jj++++=positive
[ ^zz++++=[11]
11 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
and ^cc++++=and
negative ^jj++++=negative
[ ^zz++++=[10]
10 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
outcomes ^nns+++??+=outcomes
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
assess ^vbi++++=assess
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
cost ^nn++++=cost,
, ^zz++++=EXTRAWORD
accessibility ^nn++++=accessibility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
potential ^jj+atrb+++=potential
disadvantages ^nns++++=disadvantages
that ^tht+rel+obj++=that
may ^md+pos+++=may
restrict ^vb++++=restrict
its ^pp$+it+++=its
widespread ^jj+atrb+++=widespread
adoption ^nn++++=adoption
by ^in++++=by
the ^ati++++=the
general ^jj+atrb+++=general
population ^nn++++=population
[ ^zz++++=[27].
27 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
