Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
Data ^nns++++=Data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
2,857 ^cd++++=2,857
blood ^nn++++=blood
donors ^nns++++=donors
between ^in++++=between
April ^nr++++=April
14 ^cd++++=14
and ^cc++++=and
27 ^cd++++=27,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
report ^vb++++=report
the ^ati++++=the
crude ^jj+atrb+++=crude
prevalence ^nn+++??+=prevalence
of ^in++++=of
antibodies ^nns++++=antibodies
to ^in++++=to
Sars ^np+++??+=SARS-CoV-2,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
prevalence ^nn++++=prevalence
weighted ^vwbn+++xvbn+=weighted
to ^to++++=to
reflect ^vbi+vprv+++=reflect
the ^ati++++=the
total ^jj+atrb+++=total
state ^nn++++=state
population ^nn++++=population,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prevalence ^nn+++??+=prevalence
estimates ^nns++++=estimates
adjusted ^vwbn+++xvbn+=adjusted
for ^in++++=for
test ^nn++++=test
sensitivity ^nn++++=sensitivity
and ^cc++++=and
specificity ^nn++++=specificity.
. ^zz++++=EXTRAWORD
Logistic ^np+++??+=Logistic
regression ^nn++++=regression
models ^nns++++=models
were ^vbd+bed+aux++=were
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
identify ^vbi++++=identify
factors ^nns++++=factors
associated ^vbd+++xvbn+=associated
with ^in++++=with
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
prevalence ^nn+++??+=prevalence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
incorporated ^vwbn+++xvbn+=incorporated
variables ^nns++++=variables
including ^in++++=including
the ^ati++++=the
period ^nn++++=period
and ^cc++++=and
site ^nn++++=site
of ^in++++=of
blood ^nn++++=blood
collection ^nn++++=collection,
, ^zz++++=EXTRAWORD
sociodemographic ^nn++++=sociodemographic
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
place ^nn++++=place
of ^in++++=of
residence ^nn++++=residence.
. ^zz++++=EXTRAWORD
