Despite ^in++++=Despite
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health
s ^zz++++=s
consistent ^jj+atrb+++=consistent
emphasis ^nn++++=emphasis
on ^in++++=on
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
adopting ^xvbg+++xvbg+=adopting
preventive ^jj+atrb+++=preventive
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
initial ^jj+atrb+++=initial
compliance ^nn++++=compliance
among ^in++++=among
the ^ati++++=the
population ^nn++++=population
primarily ^rb+down+++=primarily
reflected ^vbd+vprv++xvbn+=reflected
a ^at++++=a
process ^nn++++=process
of ^in++++=of
adaptation ^nn++++=adaptation,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
restrictions ^nns++++=restrictions
such ^abl++++=such
as ^ql++++=as
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
adaptation ^nn++++=adaptation
was ^vbd+bedz+aux++=was
partially ^rb+down+splt++=partially
undermined ^vpsv++by+xvbnx+=undermined
by ^in++++=by
concerns ^nns++++=concerns
over ^in++++=over
rising ^xvbg+++xvbg+=rising
unemployment ^nn++++=unemployment,
, ^zz++++=EXTRAWORD
reduced ^xvbn+++xvbn+=reduced
income ^nn++++=income,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tendency ^nn++++=tendency
to ^to+ncmp+++=to
underestimate ^vbi++++=underestimate
the ^ati++++=the
potential ^jj+atrb+++=potential
risks ^nns++++=risks
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
behaviors ^nns+++??+=behaviors
may ^md+pos+++=may
reduce ^vb++++=reduce
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
public ^jj+atrb+++=public
health ^nn++++=health
measures ^nns++++=measures
and ^cc++++=and
increase ^nn++++=increase
the ^ati++++=the
likelihood ^nn++++=likelihood
of ^in++++=of
a ^at++++=a
resurgence ^nn++++=resurgence
in ^in++++=in
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
Health ^nn++++=Health
and ^cc++++=and
political ^jj+atrb+++=political
authorities ^nns++++=authorities
at ^in++++=at
the ^ati++++=the
state ^nn++++=state
level ^nn++++=level
have ^vb+hv+aux++=have
undertaken ^vprf+++xvbnx+=undertaken
efforts ^nns++++=efforts
to ^to+ncmp+++=to
encourage ^vbi++++=encourage
the ^ati++++=the
population ^nn++++=population
to ^to++++=to
remain ^vbi++++=remain
at ^rb++++=at
home ^nr++++=home
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
flatten ^vbi++++=flatten
the ^ati++++=the
epidemic ^nn++++=epidemic
curve ^nn++++=curve
and ^cc++++=and
reduce ^vb++++=reduce
viral ^jj+atrb++??+=viral
transmission ^nn++++=transmission,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
also ^rb++splt++=also
periodically ^rb++++=periodically
reviewed ^vpsv++agls+xvbn+=reviewed
and ^cc++++=and
updated ^nn++++=updated
their ^pp$+pp3+++=their
recommendations ^nns++++=recommendations.
. ^zz++++=EXTRAWORD
