Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
indicated ^vbd+vprv++xvbn+=indicated
a ^at++++=a
decline ^nn++++=decline
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
individuals ^nns++++=individuals
( ^zz++++=(
< ^zz++++=<
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
within ^in++++=within
the ^ati++++=the
shrub ^nn++++=shrub-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
synusia ^nn+++??+=synusia
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
= ^zz++++==
0.993 ^nn+++??+=0.993
0.005 ^nn+++??+=0.005)
) ^zz++++=EXTRAWORD
and ^cc++++=and
climber ^nn++++=climber
groups ^nns++++=groups
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
= ^zz++++==
0.951 ^nn+++??+=0.951
0.003 ^nn+++??+=0.003)
) ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
diameter ^nn++++=diameter
at ^in++++=at
breast ^nn++++=breast
height ^nn++++=height
( ^zz++++=(dbh)
dbh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
greater ^jjr++++=greater
than ^in++++=than
2.5 ^cd++++=2.5
cm ^nnu++++=cm
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
all ^abn++++=all
early ^jj++++=early-successional
- ^zz++++=EXTRAWORD
successional ^nn+++??+=EXTRAWORD
plant ^nn++++=plant
species ^nns++++=species
exhibited ^vbd+++xvbn+=exhibited
a ^at++++=a
reduction ^nn++++=reduction
in ^in++++=in
individual ^jj+atrb+++=individual
numbers ^nns++++=numbers
( ^zz++++=(
< ^zz++++=<
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
ci ^np++++=CI
= ^zz++++==
0.982 ^nn++++=0.982
0.015 ^nn++++=0.015;
; ^zz++++=EXTRAWORD
table ^nn++++=Table
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
