Pacifiers ^np+++??+=Pacifiers,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
used ^vpsv++by+xvbnx+=used
by ^in++++=by
children ^nns++++=children,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
frequently ^rb++splt++=frequently
exposed ^vpsv++agls+xvbnx+=exposed
to ^in++++=to
saliva ^nn++++=saliva
and ^cc++++=and
oral ^jj+atrb+++=oral
microorganisms ^nns+++??+=microorganisms,
, ^zz++++=EXTRAWORD
making ^jj+++xvbg+=making
them ^pp3o+pp3+++=them
potential ^jj+atrb+++=potential
vehicles ^nns++++=vehicles
for ^in++++=for
contamination ^nn++++=contamination
and ^cc++++=and
microbial ^jj+atrb++??+=microbial
transmission ^nn++++=transmission,
, ^zz++++=EXTRAWORD
including ^in++++=including
Sars ^np+++??+=SARS-CoV-2.
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Proper ^jj+atrb+++=Proper
hygiene ^nn++++=hygiene
of ^in++++=of
pacifiers ^nns+++??+=pacifiers
is ^vbz+bez+vrb++=is
therefore ^rb+cnj+++=therefore
essential ^jj+pred+++=essential
to ^to+jcmp+++=to
reduce ^vbi++++=reduce
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
represent ^vb++++=represent
a ^at++++=a
particularly ^rb++++=particularly
susceptible ^jj+atrb+++=susceptible
group ^nn++++=group
for ^in++++=for
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
immaturity ^nn++++=immaturity
of ^in++++=of
their ^pp$+pp3+++=their
immune ^jj+atrb+++=immune
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
close ^jj+atrb+++=close
contact ^nn++++=contact
within ^in++++=within
families ^nns++++=families
increases ^nns++++=increases
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
cross ^jj++++=cross-infection.
- ^zz++++=EXTRAWORD
infection ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
transmitted ^vpsv++agls+xvbnx+=transmitted
through ^in++++=through
aerosols ^nns+++??+=aerosols
and ^cc++++=and
close ^jj+atrb+++=close
contact ^nn++++=contact,
, ^zz++++=EXTRAWORD
rigorous ^jj+atrb+++=rigorous
disinfection ^nn+++??+=disinfection
of ^in++++=of
pacifiers ^nns+++??+=pacifiers
is ^vbz+bez+vrb++=is
especially ^rb++++=especially
important ^jj+pred+++=important
during ^in++++=during
the ^ati++++=the
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
