A ^at++++=A
total ^nn++++=total
of ^in++++=of
60 ^cd++++=60
employees ^nns++++=employees
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
61 ^cd++++=61
Igm ^np+++??+=IgM/IgG
tests ^nns++++=tests
being ^xvbg+++xvbg+=being
performed ^vprf+++xvbn+=performed
due ^jj++++=due
to ^to+jcmp+++=to
one ^cd1++++=one
healthcare ^nn+++??+=healthcare
worker ^nn++++=worker
requiring ^vwbg+vsua++xvbg+=requiring
a ^at++++=a
repeat ^nn++++=repeat
test ^nn++++=test.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
nasopharyngeal ^nn+++??+=nasopharyngeal
swab ^nn++++=swab
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
for ^in++++=for
reverse ^nn++++=reverse
transcription ^nn+++??+=transcription
polymerase ^nn+++??+=polymerase
chain ^nn++++=chain
reaction ^nn++++=reaction
( ^zz++++=(RT-PCR)
rt ^npt++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
testing ^nvbg+++xvbg+=testing,
, ^zz++++=EXTRAWORD
yielding ^vbg+++xvbg+=yielding
a ^at++++=a
total ^nn++++=total
of ^in++++=of
62 ^cd++++=62
tests ^nns++++=tests
conducted ^vbd+++xvbn+=conducted.
. ^zz++++=EXTRAWORD
the ^ati++++=The
testing ^nn++++=testing
process ^nn++++=process
is ^vbz+bez+aux++=is
summarized ^vpsv++agls+xvbn+=summarized
in ^in++++=in
flowchart ^np++++=Flowchart
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
