Our ^pp$+pp1+++=Our
data ^nns++++=data
provide ^vb+vsua+++=provide
clinical ^jj+atrb+++=clinical
evidence ^nn++++=evidence
supporting ^vwbg+++xvbg+=supporting
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
chest ^nn++++=chest
Ct ^np+++??+=CT
as ^in++++=as
an ^at++++=an
alternative ^jj+atrb+++=alternative
triage ^nn+++??+=triage
tool ^nn++++=tool
in ^in++++=in
resource ^nn++++=resource-constrained
- ^zz++++=EXTRAWORD
constrained ^xvbn+++xvbn+=EXTRAWORD
settings ^nns++++=settings
for ^in++++=for
patients ^nns++++=patients
with ^in++++=with
suspected ^vbd+vprv++xvbn+=suspected
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
aligns ^vbz+++??+=aligns
with ^in++++=with
a ^at++++=a
recent ^jj+atrb+++=recent
statement ^nn++++=statement
from ^in++++=from
the ^ati++++=the
Fleischner ^np+++??+=Fleischner
Society ^nn++++=Society,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
recommended ^vbn+vsua++xvbn+=recommended
that ^tht+vcmp+++=that
chest ^nn++++=chest
Ct ^np+++??+=CT
may ^md+pos+++=may
be ^vb+be+aux++=be
indicated ^vpsv++agls+xvbnx+=indicated
for ^in++++=for
the ^ati++++=the
medical ^jj+atrb+++=medical
triage ^nn+++??+=triage
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
suspected ^vbd+vprv++xvbn+=suspected
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
who ^whp+rel+subj++=who
exhibit ^vb++++=exhibit
moderate ^jj++++=moderate
to ^in++++=to
severe ^jj+atrb+++=severe
clinical ^jj+atrb+++=clinical
features ^nns++++=features
and ^cc++++=and
have ^vb+hv+vrb++=have
a ^at++++=a
high ^jj+atrb+++=high
pre ^nn+++??+=pre-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
probability ^nn++++=probability
of ^in++++=of
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
situations ^nns++++=situations
where ^wrb+who+++=where
rapid ^jj+atrb+++=rapid
point ^nn++++=point-of-care
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
testing ^nn++++=testing
is ^vbz+bez+vrb++=is
unavailable ^jj+pred+++=unavailable
( ^zz++++=(19).
19 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
