It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
imaging ^nn+++??+=imaging
findings ^nns++++=findings
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
timing ^nn++++=timing
of ^in++++=of
imaging ^nn+++??+=imaging
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
symptom ^nn++++=symptom
onset ^nn++++=onset
in ^in++++=in
infected ^xvbn+++xvbn+=infected
patients ^nns++++=patients
( ^zz++++=(8,12,16).
8,12,16 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
reported ^vprf+++xvbnx+=reported
that ^tht+vcmp+++=that
more ^ql++++=more
than ^cs+sub+++=than
half ^abn++++=half
of ^in++++=of
patients ^nns++++=patients
who ^whp+rel+subj++=who
undergo ^vb++++=undergo
Ct ^np+++??+=CT
scans ^nns+++??+=scans
within ^in++++=within
two ^cd++++=two
days ^nns++++=days
of ^in++++=of
symptom ^nn++++=symptom
onset ^nn++++=onset
may ^md+pos+++=may
have ^vb+hv+vrb++=have
negative ^jj+atrb+++=negative
results ^nns++++=results
( ^zz++++=(27).
27 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
30 ^cd++++=30
patients ^nns++++=patients
underwent ^nn+++??+=underwent
Ct ^np+++??+=CT
imaging ^nn+++??+=imaging
less ^rbr++++=less
than ^in++++=than
two ^cd++++=two
days ^nns++++=days
after ^in++++=after
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
two ^cd++++=two
of ^in++++=of
these ^dt+dem+++=these
cases ^nns++++=cases
yielded ^vbd+++xvbn+=yielded
false ^jj++++=false-negative
- ^zz++++=EXTRAWORD
negative ^jj+atrb+++=EXTRAWORD
results ^nns++++=results.
. ^zz++++=EXTRAWORD
