Total ^jj+atrb+++=Total
flavonoid ^nn+++??+=flavonoid
content ^nn++++=content
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbnx+=determined
using ^vbg+++xvbg+=using
the ^ati++++=the
method ^nn++++=method
described ^vwbn+++xvbn+=described
by ^in++++=by
Meda ^np+++??+=Meda
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2005).
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Aluminum ^np+++??+=Aluminum
chloride ^nn++++=chloride
( ^zz++++=(AlCl3)
alcl3 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
added ^vpsv++agls+xvbnx+=added
to ^in++++=to
the ^ati++++=the
extract ^nn++++=extract,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
diluted ^vpsv++agls+xvbnx+=diluted
in ^in++++=in
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
methanol ^nn+++??+=methanol.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
10 ^cd++++=10-minute
- ^zz++++=EXTRAWORD
minute ^nn++++=EXTRAWORD
incubation ^nn++++=incubation
period ^nn++++=period,
, ^zz++++=EXTRAWORD
the ^ati++++=the
absorbance ^nn+++??+=absorbance
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample
was ^vbd+bedz+aux++=was
measured ^vpsv++agls+xvbnx+=measured
at ^rb++++=at
415 ^cd++++=415
nm ^nn+++??+=nm
using ^vwbg+++xvbg+=using
a ^at++++=a
Shimadzu ^np+++??+=Shimadzu
Uv ^np+++??+=UV
mini ^np++++=mini-1240
- ^zz++++=EXTRAWORD
1240 ^cd++++=EXTRAWORD
spectrophotometer ^nn+++??+=spectrophotometer.
. ^zz++++=EXTRAWORD
A ^at++++=A
calibration ^nn+++??+=calibration
curve ^nn++++=curve
was ^vbd+bedz+aux++=was
constructed ^vpsv++agls+xvbnx+=constructed
with ^in++++=with
quercetin ^nn+++??+=quercetin
standard ^jj+atrb+++=standard
solutions ^nns++++=solutions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flavonoid ^nn+++??+=flavonoid
concentrations ^nns++++=concentrations
were ^vbd+bed+aux++=were
expressed ^vbd+vpub++xvbn+=expressed
as ^ql++++=as
milligrams ^nns++++=milligrams
of ^in++++=of
quercetin ^nn++++=quercetin
equivalents ^nns++++=equivalents.
. ^zz++++=EXTRAWORD
