This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
the ^ati++++=the
advantageous ^jj+atrb+++=advantageous
deferral ^nn+++??+=deferral
of ^in++++=of
consumption ^nn++++=consumption
to ^in++++=to
a ^at++++=a
future ^jjb+atrb+++=future
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
expected ^vbd+vprv+tht0+xvbn+=expected
future ^jjb+atrb+++=future
consumption ^nn++++=consumption
is ^vbz+bez+aux++=is
realized ^vpsv++agls+xvbnx+=realized
only ^rb+down+++=only
if ^cs+cnd+++=if
the ^ati++++=the
allocated ^jj+atrb++xvbn+=allocated
resources ^nns++++=resources
generate ^vb++++=generate
returns ^nns++++=returns
that ^tht+rel+subj++=that
meet ^vb++++=meet
or ^cc+phrs+++=or
exceed ^vb++++=exceed
the ^ati++++=the
opportunity ^nn++++=opportunity
cost ^nn++++=cost
of ^in++++=of
capital ^nn++++=capital.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
process ^nn++++=process
may ^md+pos+++=may
involve ^vb++++=involve
the ^ati++++=the
production ^nn++++=production
of ^in++++=of
capital ^nn++++=capital
goods ^nns++++=goods,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
not ^xnot++not++=not
intended ^vbd+vsua++xvbn+=intended
for ^in++++=for
immediate ^jj+atrb+++=immediate
consumption ^nn++++=consumption
but ^cc++++=but
are ^vb+ber+aux++=are
instead ^rb+cnj+splt++=instead
utilized ^vpsv++agls+xvbn+=utilized
in ^in++++=in
subsequent ^jj+atrb+++=subsequent
production ^nn++++=production
activities ^nns++++=activities.
. ^zz++++=EXTRAWORD
