During ^in++++=During
the ^ati++++=the
6.5 ^cd++++=6.5-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
study ^nn++++=study
period ^nn++++=period,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality
( ^zz++++=(Mdn
mdn ^nn+++??+=EXTRAWORD
= ^zz++++==
9.19 ^cd++++=9.19%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
significantly ^rb++++=significantly
higher ^jjr+pred+++=higher
than ^in++++=than
recruitment ^nn++++=recruitment
( ^zz++++=(Mdn
mdn ^nn+++??+=EXTRAWORD
= ^zz++++==
0 ^zz++++=0%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
among ^in++++=among
early ^jj++++=early-successional
- ^zz++++=EXTRAWORD
successional ^nn+++??+=EXTRAWORD
plants ^nns++++=plants
with ^in++++=with
a ^at++++=a
diameter ^nn++++=diameter
at ^in++++=at
breast ^nn++++=breast
height ^nn++++=height
( ^zz++++=(dbh)
dbh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
greater ^jjr++++=greater
than ^in++++=than
2.5 ^cd++++=2.5
cm ^nnu++++=cm
( ^zz++++=(Mann-Whitney
mann ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
whitney ^np++++=EXTRAWORD
Test ^nn++++=Test,
, ^zz++++=EXTRAWORD
U ^zz++++=U
= ^zz++++==
18 ^cd++++=18,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.007 ^nn+++??+=0.007),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
no ^at++++=no
significant ^jj+atrb+++=significant
difference ^nn++++=difference
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
between ^in++++=between
mortality ^nn++++=mortality
and ^cc++++=and
recruitment ^nn++++=recruitment
rates ^nns++++=rates
in ^in++++=in
early ^jj++++=early-successional
- ^zz++++=EXTRAWORD
successional ^nn+++??+=EXTRAWORD
plants ^nns++++=plants
with ^in++++=with
a ^at++++=a
dbh ^nn+++??+=dbh
less ^rbr++++=less
than ^in++++=than
2.5 ^cd++++=2.5
cm ^nnu++++=cm.
. ^zz++++=EXTRAWORD
In ^in++++=In
late ^jj++++=late-successional
- ^zz++++=EXTRAWORD
successional ^nn+++??+=EXTRAWORD
plants ^nns++++=plants
with ^in++++=with
a ^at++++=a
dbh ^nn+++??+=dbh
greater ^jjr++++=greater
than ^in++++=than
2.5 ^cd++++=2.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
significant ^jj+atrb+++=significant
difference ^nn++++=difference
between ^in++++=between
mortality ^nn++++=mortality
( ^zz++++=(7.67
7.67 ^cd++++=EXTRAWORD
1.24 ^cd++++=1.24%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
recruitment ^nn++++=recruitment
( ^zz++++=(5.53
5.53 ^cd++++=EXTRAWORD
1.26 ^cd++++=1.26%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
rates ^nns++++=rates
( ^zz++++=(t
t ^zz++++=EXTRAWORD
test ^nn++++=test,
, ^zz++++=EXTRAWORD
t ^zz++++=t
= ^zz++++==
1.21 ^cd++++=1.21,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.24 ^nn+++??+=0.24).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
late ^jj++++=late-successional
- ^zz++++=EXTRAWORD
successional ^nn+++??+=EXTRAWORD
plants ^nns++++=plants
with ^in++++=with
a ^at++++=a
dbh ^nn+++??+=dbh
less ^rbr++++=less
than ^in++++=than
2.5 ^cd++++=2.5
cm ^nnu++++=cm
exhibited ^vbd+++xvbn+=exhibited
significantly ^rb++++=significantly
higher ^jjr+atrb+++=higher
recruitment ^nn++++=recruitment
( ^zz++++=(Mdn
mdn ^nn+++??+=EXTRAWORD
= ^zz++++==
20.0 ^cd++++=20.0%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^in++++=to
mortality ^nn++++=mortality
( ^zz++++=(Mdn
mdn ^nn+++??+=EXTRAWORD
= ^zz++++==
7.14 ^cd++++=7.14%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Mann-Whitney
mann ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
whitney ^np++++=EXTRAWORD
Test ^nn++++=Test,
, ^zz++++=EXTRAWORD
U ^zz++++=U
= ^zz++++==
16 ^cd++++=16,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
0.026 ^nn++++=0.026)
) ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
same ^ap++++=same
period ^nn++++=period.
. ^zz++++=EXTRAWORD
