Chlorhexidine ^np+++??+=Chlorhexidine
0.12 ^nn+++??+=0.12%
% ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
be ^vbi++vrb++=be
effective ^jj+pred+++=effective
in ^in++++=in
removing ^xvbg+++xvbg+=removing
Staphylococcus ^np+++??+=Staphylococcus
epidermidis ^nns+++??+=epidermidis
and ^cc++++=and
Candida ^np+++??+=Candida
parapsilosis ^nns+++??+=parapsilosis
[ ^zz++++=[11],
11 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Candida ^np+++??+=Candida
albicans ^nns+++??+=albicans
[ ^zz++++=[9],
9 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Streptococcus ^np+++??+=Streptococcus
mutans ^nns+++??+=mutans
[ ^zz++++=[3,9,14].
3,9,14 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
recommend ^vb+vsua+++=recommend
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
chlorhexidine ^nn+++??+=chlorhexidine
0.12 ^nn+++??+=0.12%
% ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
antimicrobial ^nn+++??+=antimicrobial
agent ^nn++++=agent
for ^in++++=for
disinfecting ^nn+++??+=disinfecting
pacifiers ^nns+++??+=pacifiers,
, ^zz++++=EXTRAWORD
with ^in++++=with
application ^nn++++=application
by ^in++++=by
spraying ^nn++++=spraying
identified ^vpsv++agls+xvbn+=identified
as ^ql++++=as
a ^at++++=a
suitable ^jj+atrb+++=suitable
method ^nn++++=method
[ ^zz++++=[10].
10 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
