Investors ^nns++++=Investors
seek ^vb++++=seek
to ^to+vcmp+++=to
enhance ^vbi++++=enhance
their ^pp$+pp3+++=their
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
purchasing ^vwbg+++xvbg+=purchasing
power ^nn++++=power;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
inflation ^nn++++=inflation
poses ^nns++++=poses
a ^at++++=a
risk ^nn++++=risk
to ^in++++=to
this ^dt+dem+++=this
objective ^jj++++=objective
because ^cs+cos+++=because
investment ^nn++++=investment
returns ^nns++++=returns
must ^md+nec+++=must
at ^in++++=at
least ^rbt++++=least
match ^vb++++=match
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
inflation ^nn++++=inflation
to ^to++++=to
achieve ^vbi++++=achieve
real ^jj+atrb+++=real
gains ^nns++++=gains
in ^in++++=in
purchasing ^xvbg+++xvbg+=purchasing
power ^nn++++=power.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
increasing ^jj+atrb++xvbg+=increasing
inflation ^nn++++=inflation
diminishes ^vbz++++=diminishes
the ^ati++++=the
real ^jj+atrb+++=real
value ^nn++++=value
of ^in++++=of
the ^ati++++=the
principal ^nn++++=principal
in ^in++++=in
fixed ^jj+atrb+++=fixed
income ^nn++++=income
securities ^nns++++=securities.
. ^zz++++=EXTRAWORD
