Regarding ^in++++=Regarding
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
detected ^vbd+++xvbn+=detected
antibody ^nn++++=antibody,
, ^zz++++=EXTRAWORD
Igm ^np+++??+=IgM-only
- ^zz++++=EXTRAWORD
only ^rb+down+++=EXTRAWORD
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
23.7 ^cd++++=23.7%
% ^zz++++=EXTRAWORD
of ^in++++=of
positive ^jj+atrb+++=positive
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
Igg ^np+++??+=IgG-only
- ^zz++++=EXTRAWORD
only ^rb+down+++=EXTRAWORD
in ^in++++=in
11.4 ^cd++++=11.4%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
Igm ^np+++??+=IgM
and ^cc++++=and
Igg ^np+++??+=IgG
in ^in++++=in
64.9 ^cd++++=64.9%
% ^zz++++=EXTRAWORD
of ^in++++=of
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
specific ^jj+atrb+++=specific
prevalence ^nn+++??+=prevalence
rates ^nns++++=rates
for ^in++++=for
each ^dt++++=each
antibody ^nn++++=antibody
type ^nn++++=type
across ^in+pl+++=across
the ^ati++++=the
following ^jj+atrb++xvbg+=following
time ^nn++++=time
periods ^nns++++=periods:
: ^zz++++=EXTRAWORD
April ^nr++++=April
14 ^cd++++=14
18 ^cd++++=18,
, ^zz++++=EXTRAWORD
april ^nr++++=April
19 ^cd++++=19
23 ^cd++++=23,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
april ^nr++++=April
24 ^cd++++=24
27 ^cd++++=27.
. ^zz++++=EXTRAWORD
