Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
A ^at++++=A
cross ^jj++++=cross-sectional
- ^zz++++=EXTRAWORD
sectional ^jj+atrb+++=EXTRAWORD
online ^nn+++??+=online
survey ^vb++++=survey
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
among ^in++++=among
individuals ^nns++++=individuals
in ^in++++=in
self ^nn++++=self-isolation.
- ^zz++++=EXTRAWORD
isolation ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Participants ^nns++++=Participants
self ^nn++++=self-reported
- ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=EXTRAWORD
moderate ^jj++++=moderate-to-vigorous
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
vigorous ^jj+atrb+++=EXTRAWORD
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(MVPA),
mvpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
vigorous ^jj+atrb+++=vigorous
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(VPA),
vpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
moderate ^jj+atrb+++=moderate
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(MPA),
mpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sedentary ^jj+atrb++??+=sedentary
behavior ^nn++++=behavior
( ^zz++++=(SB),
sb ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
served ^vbd+++xvbn+=served
as ^ql++++=as
exposure ^nn++++=exposure
variables ^nns++++=variables.
. ^zz++++=EXTRAWORD
Depressive ^np+++??+=Depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
were ^vbd+bed+aux++=were
assessed ^vpsv++agls+xvbnx+=assessed
using ^vbg+++xvbg+=using
the ^ati++++=the
Beck ^nn++++=Beck
Depression ^nn++++=Depression
Inventory ^nn++++=Inventory
( ^zz++++=(BDI)
bdi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Beck ^nn++++=Beck
Anxiety ^nn++++=Anxiety
Inventory ^nn++++=Inventory
( ^zz++++=(BAI),
bai ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
Associations ^nns++++=Associations
between ^in++++=between
Mvpa ^np+++??+=MVPA,
, ^zz++++=EXTRAWORD
Vpa ^np+++??+=VPA,
, ^zz++++=EXTRAWORD
Mpa ^np+++??+=MPA,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sb ^np+++??+=SB
and ^cc++++=and
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
depressive ^nn+++??+=depressive
symptoms ^nns++++=symptoms
( ^zz++++=(BDI
bdi ^nn+++??+=EXTRAWORD
> ^zz++++=>
9 ^zz++++=9),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
( ^zz++++=(BAI
bai ^nn+++??+=EXTRAWORD
> ^zz++++=>
7 ^zz++++=7),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
comorbid ^nn+++??+=comorbid
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
( ^zz++++=(BDI
bdi ^nn+++??+=EXTRAWORD
> ^zz++++=>
9 ^zz++++=9
and ^cc++++=and
Bai ^np+++??+=BAI
> ^zz++++=>
7 ^zz++++=7)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
examined ^vpsv++agls+xvbnx+=examined
using ^vbg+++xvbg+=using
logistic ^nn+++??+=logistic
regression ^nn++++=regression
analyses ^nns++++=analyses,
, ^zz++++=EXTRAWORD
with ^in++++=with
results ^nns++++=results
reported ^vbd+vpub++xvbn+=reported
as ^ql++++=as
odds ^nns++++=odds
ratios ^nns++++=ratios
( ^zz++++=(OR)
or ^cc++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
confidence ^nn++++=confidence
intervals ^nns++++=intervals
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Linear ^jj+atrb+++=Linear
regression ^nn++++=regression
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
also ^rb++splt++=also
conducted ^vpsv++agls+xvbnx+=conducted
to ^to++++=to
assess ^vbi++++=assess
associations ^nns++++=associations
with ^in++++=with
symptom ^nn++++=symptom
severity ^nn++++=severity.
. ^zz++++=EXTRAWORD
all ^abn++++=All
models ^nns++++=models
were ^vbd+bed+aux++=were
adjusted ^vpsv++agls+xvbn+=adjusted
for ^in++++=for
potential ^jj+atrb+++=potential
confounding ^nn++++=confounding
variables ^nns++++=variables.
. ^zz++++=EXTRAWORD
