Daily ^jj++++=Daily
washing ^jj+++xvbg+=washing
of ^in++++=of
pacifiers ^nns+++??+=pacifiers
with ^in++++=with
running ^xvbg+++xvbg+=running
water ^nn++++=water
and ^cc++++=and
a ^at++++=a
neutral ^jj+atrb+++=neutral
detergent ^nn++++=detergent,
, ^zz++++=EXTRAWORD
combined ^j+++xvbn+=combined
with ^in++++=with
vigorous ^jj+atrb+++=vigorous
mechanical ^jj+atrb+++=mechanical
action ^nn++++=action
for ^in++++=for
a ^at++++=a
minimum ^nn++++=minimum
of ^in++++=of
five ^cd++++=five
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
recommended ^vpsv++agls+xvbnx+=recommended
as ^ql++++=as
an ^at++++=an
effective ^jj+atrb+++=effective
cleaning ^jj+atrb++xvbg+=cleaning
method ^nn++++=method
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
reported ^vprf+++xvbnx+=reported
positive ^jj+atrb+++=positive
outcomes ^nns+++??+=outcomes
when ^wrb+who+++=when
this ^dt+dem+++=this
protocol ^nn++++=protocol
was ^vbd+bedz+aux++=was
followed ^vpsv++agls+xvbnx+=followed
[ ^zz++++=[25].
25 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Alternatively ^rb+cnj+++=Alternatively,
, ^zz++++=EXTRAWORD
immersion ^nn++++=immersion
of ^in++++=of
the ^ati++++=the
pacifier ^nn+++??+=pacifier
in ^in++++=in
a ^at++++=a
2.5 ^cd++++=2.5%
% ^zz++++=EXTRAWORD
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
solution ^nn++++=solution
for ^in++++=for
five ^cd++++=five
minutes ^nns++++=minutes
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
achieve ^vbi++++=achieve
complete ^jj+atrb+++=complete
disinfection ^nn+++??+=disinfection
[ ^zz++++=[8],
8 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
result ^nn++++=result
that ^tht+ncmp+++=that
has ^vbz+hvz+aux++=has
also ^rb++++=also
been ^vbd+ben+aux++=been
observed ^vpsv++agls+xvbn+=observed
with ^in++++=with
toothbrushes ^nns++++=toothbrushes
[ ^zz++++=[26].
26 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
