It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
assess ^vbi++++=assess
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
testing ^xvbg+++xvbg+=testing
healthcare ^nn+++??+=healthcare
workers ^nns++++=workers
( ^zz++++=(HCWs)
hcws ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
within ^in++++=within
any ^dti++++=any
given ^jj+atrb++xvbn+=given
service ^nn++++=service.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
three ^cd++++=three
asymptomatic ^nn+++??+=asymptomatic
and ^cc++++=and
one ^cd1++++=one
symptomatic ^jj+atrb+++=symptomatic
Hcw ^np+++??+=HCW
enabled ^vbd+++xvbn+=enabled
the ^ati++++=the
service ^nn++++=service
to ^to++++=to
implement ^vbi++++=implement
appropriate ^jj+atrb+++=appropriate
isolation ^nn++++=isolation
measures ^nns++++=measures
for ^in++++=for
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
could ^md+pos+++=could
pose ^vb++++=pose
a ^at++++=a
risk ^nn++++=risk
to ^in++++=to
themselves ^ppls+pp3+++=themselves
and ^cc++++=and
to ^in++++=to
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
considering ^vbg+++xvbg+=considering
that ^tht+vcmp+++=that
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
patients ^nns++++=patients
attending ^vbg+++xvbg+=attending
the ^ati++++=the
cto ^np++++=CTO
are ^vb+ber+vrb++=are
immunosuppressed ^nn++++=immunosuppressed
to ^in++++=to
some ^dti++++=some
extent ^nn++++=extent.
. ^zz++++=EXTRAWORD
