Data ^nns++++=Data
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
an ^at++++=an
adaptation ^nn++++=adaptation
of ^in++++=of
Carlson ^np+++??+=Carlson
s ^zz++++=s
Trophic ^np+++??+=Trophic
State ^nn++++=State
Index ^nn++++=Index
( ^zz++++=(TSI)
tsi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Carlson
carlson ^nn+++??+=EXTRAWORD
1977 ^cd+date+++=1977),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
modified ^nn++++=modified
by ^in++++=by
Lamparelli ^np+++??+=Lamparelli
( ^zz++++=(2004)
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
application ^nn++++=application
in ^in++++=in
tropical ^jj+atrb+++=tropical
reservoirs ^nns++++=reservoirs.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
index ^nn++++=index
was ^vbd+bedz+aux++=was
developed ^vpsv++agls+xvbnx+=developed
based ^vbd+++xvbn+=based
on ^in++++=on
data ^nns++++=data
from ^in++++=from
reservoirs ^nns++++=reservoirs
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
region ^nn++++=region
as ^in++++=as
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
( ^zz++++=(CETESB
cetesb ^nn+++??+=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Tsi ^np+++??+=TSI
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
using ^vbg+++xvbg+=using
measurements ^nns++++=measurements
of ^in++++=of
total ^jj+atrb+++=total
phosphorus ^nns+++??+=phosphorus
( ^zz++++=(TP),
tp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
chlorophyll ^nn+++??+=chlorophyll-a
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
( ^zz++++=(Chl-a)
chl ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
concentration ^nn++++=concentration,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Secchi ^np+++??+=Secchi
disk ^nn+++??+=disk
depth ^nn++++=depth
( ^zz++++=(SD).
sd ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
produced ^vbd+++xvbn+=produced
a ^at++++=a
20 ^cd++++=20-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
time ^nn++++=time
series ^nn++++=series
of ^in++++=of
trophic ^nn++++=trophic
state ^nn++++=state
data ^nns++++=data.
. ^zz++++=EXTRAWORD
