A ^at++++=A
total ^nn++++=total
of ^in++++=of
986 ^cd++++=986
samples ^nns++++=samples
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
for ^in++++=for
the ^ati++++=the
present ^jj+atrb+++=present
survey ^nn++++=survey.
. ^zz++++=EXTRAWORD
Ninfeias ^np+++??+=Ninfeias
Lake ^nn++++=Lake
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
sampled ^jj+atrb++??+=sampled
site ^nn++++=site
within ^in++++=within
Pefi ^np+++??+=PEFI,
, ^zz++++=EXTRAWORD
with ^in++++=with
327 ^cd++++=327
samples ^nns++++=samples
collected ^vwbn+++xvbn+=collected.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
Gar ^np+++??+=Gar
as ^ql++++=as
Lake ^npl++++=Lake
with ^in++++=with
177 ^cd++++=177
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hydrophytoterium ^nn+++??+=hydrophytoterium
with ^in++++=with
157 ^cd++++=157
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Iag ^np+++??+=IAG
Lake ^nn++++=Lake
with ^in++++=with
152 ^cd++++=152
samples ^nns++++=samples.
. ^zz++++=EXTRAWORD
Ninfeias ^np+++??+=Ninfeias
Lake ^nn++++=Lake
also ^rb++++=also
contained ^vbd+++xvbn+=contained
the ^ati++++=the
highest ^jjt+atrb+++=highest
number ^nn++++=number
of ^in++++=of
identified ^vbd+++xvbn+=identified
taxa ^nn+++??+=taxa,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Gar ^np+++??+=Gar
as ^ql++++=as
Lake ^npl++++=Lake.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
hydrophytoterium ^nn+++??+=hydrophytoterium
ranked ^vbd+++xvbn+=ranked
third ^nn++++=third
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
a ^at++++=a
highly ^rb+amp+++=highly
managed ^vbd+++xvbn+=managed
system ^nn++++=system,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
current ^jj+atrb+++=current
floristic ^nn+++??+=floristic
composition ^nn++++=composition
may ^md+pos+++=may
no ^at++++=no
longer ^rbr++++=longer
reflect ^vb+vprv+++=reflect
its ^pp$+it+++=its
original ^nn++++=original
state ^nn++++=state.
. ^zz++++=EXTRAWORD
