Climbers ^np+++??+=Climbers
represented ^vbd+++xvbn+=represented
the ^ati++++=the
most ^ql+emph+++=most
dynamic ^jj+atrb+++=dynamic
life ^nn++++=life
form ^nn++++=form,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
findings ^nns++++=findings
by ^in++++=by
Wright ^np++++=Wright
( ^zz++++=(2004),
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Phillips ^np++++=Phillips
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2005),
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Laurance ^np+++??+=Laurance
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014).
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Penhalber ^np+++??+=Penhalber
and ^cc++++=and
Mantovani ^np+++??+=Mantovani
( ^zz++++=(1997)
1997 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
this ^dt+dem+++=this
synusia ^jj+++??+=synusia
produced ^jj+++xvbn+=produced
the ^ati++++=the
highest ^jjt+atrb+++=highest
number ^nn++++=number
of ^in++++=of
propagules ^nns+++??+=propagules
in ^in++++=in
the ^ati++++=the
park ^nn++++=park,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
facilitating ^vbg+++xvbg+=facilitating
increased ^jj+atrb++xvbn+=increased
recruitment ^nn++++=recruitment.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
previous ^jj+atrb+++=previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
indicated ^vprf+++xvbnx+=indicated
that ^tht+vcmp+++=that
climbers ^nns+++??+=climbers
exhibit ^vb++++=exhibit
low ^jj+atrb+++=low
seedling ^nn++++=seedling
establishment ^nn++++=establishment
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
more ^rbr++++=more
mature ^jj+atrb+++=mature
forests ^nns++++=forests
( ^zz++++=(Engel
engel ^nn+++??+=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Schnitzer ^np+++??+=Schnitzer
2005 ^cd++++=2005),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
ultimately ^rb++++=ultimately
limit ^nn++++=limit
recruitment ^nn++++=recruitment
into ^in++++=into
larger ^jjr+atrb+++=larger
size ^nn++++=size
classes ^nns++++=classes,
, ^zz++++=EXTRAWORD
as ^in++++=as
observed ^nn++++=observed
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
their ^pp$+pp3+++=their
lower ^jjr+atrb+++=lower
abundance ^nn++++=abundance,
, ^zz++++=EXTRAWORD
climbers ^vbz+++??+=climbers
experienced ^vprf+++xvbn+=experienced
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
reduction ^nn++++=reduction
in ^in++++=in
basal ^jj+atrb+++=basal
area ^nn++++=area,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
36 ^cd++++=36%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^nn++++=total
decrease ^vb++++=decrease
within ^in++++=within
the ^ati++++=the
community ^nn++++=community,
, ^zz++++=EXTRAWORD
in ^in++++=in
contrast ^nn++++=contrast
to ^in++++=to
the ^ati++++=the
shrub ^nn++++=shrub-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
synusia ^nn+++??+=synusia,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
exhibited ^vprf+++xvbn+=exhibited
higher ^jjr+atrb+++=higher
recruitment ^nn++++=recruitment
than ^in++++=than
basal ^jj+atrb+++=basal
area ^nn++++=area
loss ^nn++++=loss
during ^in++++=during
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period.
. ^zz++++=EXTRAWORD
The ^ati++++=The
observed ^nn++++=observed
decline ^vb++++=decline
in ^in++++=in
lianas ^nns+++??+=lianas
may ^md+pos+++=may
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
maturation ^nn++++=maturation
of ^in++++=of
the ^ati++++=the
area ^nn++++=area.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
largest ^jjt+atrb+++=largest
lianas ^nns+++??+=lianas
( ^zz++++=(those
those ^dt+dem+++=EXTRAWORD
with ^in++++=with
dbh ^nn+++??+=dbh
> ^zz++++=>
2.5 ^cd++++=2.5
cm ^nnu++++=cm)
) ^zz++++=EXTRAWORD
demonstrated ^vbd+vprv++xvbn+=demonstrated
higher ^jjr+atrb+++=higher
mortality ^nn++++=mortality
than ^in++++=than
recruitment ^nn++++=recruitment
and ^cc++++=and
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
declining ^jj+atrb+++=declining
trend ^nn++++=trend
( ^zz++++=(
< ^zz++++=<
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
