Prediction ^nn++++=Prediction
models ^nns++++=models
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
early ^jj+atrb+++=early
implementation ^nn++++=implementation
of ^in++++=of
physical ^jj+atrb+++=physical
distancing ^nn+++??+=distancing
could ^md+pos+++=could
prevent ^vb++++=prevent
approximately ^rb+down+++=approximately
90,000 ^cd++++=90,000
deaths ^nns++++=deaths
in ^in++++=in
the ^ati++++=the
largest ^jjt+atrb+++=largest
metropolitan ^jj+atrb+++=metropolitan
area ^nn++++=area
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
self ^nn++++=self-isolation
- ^zz++++=EXTRAWORD
isolation ^nn++++=EXTRAWORD
measures ^nns++++=measures
are ^vb+ber+vrb++=are
essential ^nn++++=essential
for ^in++++=for
reducing ^xvbg+++xvbg+=reducing
infection ^nn++++=infection
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
interventions ^nns++++=interventions,
, ^zz++++=EXTRAWORD
in ^in++++=in
combination ^nn++++=combination
with ^in++++=with
heightened ^vbd+++xvbn+=heightened
concerns ^nns++++=concerns
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
on ^in++++=on
mental ^jj+atrb+++=mental
health ^nn++++=health,
, ^zz++++=EXTRAWORD
including ^in++++=including
increased ^jj+atrb++xvbn+=increased
symptoms ^nns++++=symptoms
of ^in++++=of
depression ^nn++++=depression
and ^cc++++=and
anxiety ^nn++++=anxiety.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
develop ^vbi++++=develop
and ^cc+phrs+++=and
implement ^vb++++=implement
strategies ^nns+++??+=strategies
to ^to++++=to
mitigate ^vbi++++=mitigate
both ^abx++++=both
the ^ati++++=the
current ^nn++++=current
and ^cc++++=and
future ^jjb+atrb+++=future
mental ^jj+atrb+++=mental
health ^nn++++=health
impacts ^vbz++++=impacts
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
these ^dt+dem+++=these
public ^jj+atrb+++=public
health ^nn++++=health
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
