Over ^in++++=Over
the ^ati++++=the
past ^jjb++++=past
20 ^cd++++=20
years ^nns++++=years
( ^zz++++=(1997
1997 ^cd+date+++=EXTRAWORD
2017 ^cd++++=2017),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Gar ^np+++??+=Gar
as ^in++++=as
Reservoir ^nn++++=Reservoir
has ^vbz+hvz+aux++=has
experienced ^vprf+++xvbnx+=experienced
various ^jj+atrb+++=various
environmental ^jj+atrb+++=environmental
changes ^nns++++=changes,
, ^zz++++=EXTRAWORD
including ^in++++=including
management ^nn++++=management
interventions ^nns++++=interventions
such ^abl++++=such
as ^ql++++=as
macrophyte ^nn+++??+=macrophyte
harvesting ^vwbg+++xvbg+=harvesting,
, ^zz++++=EXTRAWORD
sewage ^nn++++=sewage
diversion ^nn++++=diversion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
construction ^nn++++=construction
of ^in++++=of
a ^at++++=a
secondary ^jj+atrb+++=secondary
wastewater ^nn+++??+=wastewater
treatment ^nn++++=treatment
plant ^nn++++=plant
at ^in++++=at
the ^ati++++=the
city ^nn++++=city
zoo ^nn++++=zoo.
. ^zz++++=EXTRAWORD
Utilizing ^np+++??+=Utilizing
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
dataset ^nn+++??+=dataset,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
aimed ^vwbn+++xvbn+=aimed
to ^to+vcmp+++=to
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
assess ^vb++++=assess
temporal ^jj+atrb+++=temporal
changes ^nns++++=changes
in ^in++++=in
water ^nn++++=water
quality ^nn++++=quality
using ^vwbg+++xvbg+=using
a ^at++++=a
trophic ^nn+++??+=trophic
state ^nn++++=state
index ^nn++++=index
( ^zz++++=(TSI)
tsi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
determine ^vb++++=determine
whether ^cs+who+++=whether
the ^ati++++=the
management ^nn++++=management
measures ^vbz++++=measures
implemented ^vbd+++xvbn+=implemented
to ^in++++=to
date ^nn++++=date
have ^vb+hv+aux++=have
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
improvements ^nns++++=improvements
in ^in++++=in
water ^nn++++=water
quality ^nn++++=quality.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Tsi ^np+++??+=TSI
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
used ^vpsv++agls+xvbnx+=used
in ^in++++=in
monitoring ^xvbg+++xvbg+=monitoring
studies ^nns++++=studies
because ^cs+cos+++=because
it ^pp3+it+++=it
facilitates ^vbz+++??+=facilitates
comparisons ^nns++++=comparisons
of ^in++++=of
ecosystem ^nn+++??+=ecosystem
productivity ^nn++++=productivity
and ^cc++++=and
provides ^vbz+vsua+++=provides
an ^at++++=an
initial ^jj+atrb+++=initial
framework ^nn++++=framework
for ^in++++=for
assessing ^xvbg+++xvbg+=assessing
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
cultural ^jj+atrb+++=cultural
eutrophication ^nn+++??+=eutrophication
( ^zz++++=(Carlson
carlson ^nn+++??+=EXTRAWORD
1977 ^cd+date+++=1977;
; ^zz++++=EXTRAWORD
Salas ^np+++??+=Salas
& ^zz++++=&
Martino ^np+++??+=Martino
1991 ^cd+date+++=1991;
; ^zz++++=EXTRAWORD
lamparelli ^np++++=Lamparelli
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
cunha ^np++++=Cunha
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
