Table ^nn++++=Table
2 ^zz++++=2
presents ^vbz++++=presents
the ^ati++++=the
empirical ^jj+atrb+++=empirical
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
Johansen ^np+++??+=Johansen
co ^nn++++=co-integration
- ^zz++++=EXTRAWORD
integration ^nn++++=EXTRAWORD
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Johansen ^np+++??+=Johansen
test ^nn++++=test
is ^vbz+bez+aux++=is
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
a ^at++++=a
long ^jj++++=long-run
- ^zz++++=EXTRAWORD
run ^vb+++xvbn+=EXTRAWORD
relationship ^nn++++=relationship
exists ^vbz++++=exists
among ^in++++=among
the ^ati++++=the
series ^nn++++=series
by ^in++++=by
testing ^xvbg+++xvbg+=testing
the ^ati++++=the
null ^jj+atrb+++=null
hypothesis ^nn++++=hypothesis
of ^in++++=of
no ^at++++=no
co ^nn++++=co-integrating
- ^zz++++=EXTRAWORD
integrating ^vbg+++xvbg+=EXTRAWORD
relationship ^nn++++=relationship
against ^in++++=against
the ^ati++++=the
alternative ^jj+atrb+++=alternative
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
at ^rb++++=at
least ^ql++++=least
one ^cd1++++=one
co ^nn++++=co-integrating
- ^zz++++=EXTRAWORD
integrating ^vbg+++xvbg+=EXTRAWORD
equation ^nn++++=equation
is ^vbz+bez+aux++=is
present ^vb++++=present.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
the ^ati++++=the
model ^nn++++=model
includes ^vb++++=includes
five ^cd++++=five
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
assesses ^vbz++++=assesses
whether ^cs+who+++=whether
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
co ^nn++++=co-integrating
- ^zz++++=EXTRAWORD
integrating ^vbg+++xvbg+=EXTRAWORD
equations ^nns++++=equations
is ^vbz+bez+vrb++=is
zero ^cd++++=zero,
, ^zz++++=EXTRAWORD
one ^pn++++=one,
, ^zz++++=EXTRAWORD
two ^cd++++=two,
, ^zz++++=EXTRAWORD
three ^cd++++=three,
, ^zz++++=EXTRAWORD
four ^cd++++=four,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
five ^cd++++=five.
. ^zz++++=EXTRAWORD
