Severe ^jj+atrb+++=Severe
Acute ^jj+atrb+++=Acute
Respiratory ^jj+atrb+++=Respiratory
Syndrome ^np+++??+=Syndrome
Coronavirus ^np+++??+=Coronavirus
2 ^zz++++=2
( ^zz++++=(SARS-CoV-2),
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
novel ^nn++++=novel
virus ^nn++++=virus
responsible ^jj++++=responsible
for ^in++++=for
Coronavirus ^np+++??+=Coronavirus
Disease ^nn++++=Disease
2019 ^cd++++=2019
( ^zz++++=(COVID-19),
covid ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
first ^od++++=first
emerged ^vprf+++xvbn+=emerged
in ^in++++=in
China ^np++++=China
in ^in++++=in
December ^nr++++=December
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization
declared ^vbd+vpub++xvbn+=declared
a ^at++++=a
pandemic ^nn+++??+=pandemic
on ^in++++=on
March ^nr++++=March
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
( ^zz++++=(1).
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
its ^pp$+it+++=its
recent ^jj+atrb+++=recent
emergence ^nn++++=emergence,
, ^zz++++=EXTRAWORD
significant ^jj+atrb+++=significant
gaps ^nns++++=gaps
remain ^vb++++=remain
in ^in++++=in
the ^ati++++=the
understanding ^jj+++xvbg+=understanding
of ^in++++=of
this ^dt+dem+++=this
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
Key ^jjb+atrb+++=Key
areas ^nns++++=areas
of ^in++++=of
ongoing ^nn+++??+=ongoing
investigation ^nn++++=investigation
and ^cc++++=and
debate ^nn++++=debate
include ^vb++++=include
the ^ati++++=the
overall ^jjb+atrb+++=overall
fatality ^nn++++=fatality
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
accuracy ^nn++++=accuracy
of ^in++++=of
diagnostic ^nn+++??+=diagnostic
tests ^nns++++=tests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
current ^jj+atrb+++=current
treatment ^nn++++=treatment
options ^nns++++=options.
. ^zz++++=EXTRAWORD
