Two ^cd++++=Two
reviewers ^nns++++=reviewers
( ^zz++++=(VS
vs ^in++++=EXTRAWORD
and ^cc++++=and
Dl ^np+++??+=DL)
) ^zz++++=EXTRAWORD
independently ^rb++++=independently
extracted ^vbd+++xvbn+=extracted
data ^nns++++=data
using ^vwbg+++xvbg+=using
a ^at++++=a
standardized ^nn+++??+=standardized
form ^nn++++=form.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
available ^jj++++=available
in ^in++++=in
the ^ati++++=the
reviewed ^jj+atrb++xvbn+=reviewed
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^jj+atrb++xvbg+=following
variables ^nns++++=variables
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded:
: ^zz++++=EXTRAWORD
country ^nn++++=country
of ^in++++=of
study ^nn++++=study,
, ^zz++++=EXTRAWORD
study ^nn++++=study
design ^nn++++=design,
, ^zz++++=EXTRAWORD
pacifier ^nn+++??+=pacifier
material ^nn++++=material,
, ^zz++++=EXTRAWORD
sample ^nn++++=sample
size ^nn++++=size
( ^zz++++=(n),
n ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
microorganisms ^nns+++??+=microorganisms
analyzed ^nn+++??+=analyzed,
, ^zz++++=EXTRAWORD
decontamination ^nn++++=decontamination
methods ^nns++++=methods
employed ^vbd+++xvbn+=employed,
, ^zz++++=EXTRAWORD
accessibility ^nn++++=accessibility
of ^in++++=of
methods ^nns++++=methods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reported ^vbn+vpub++xvbn+=reported
results ^nns++++=results.
. ^zz++++=EXTRAWORD
Discrepancies ^nns++++=Discrepancies
between ^in++++=between
reviewers ^nns++++=reviewers
were ^vbd+bed+aux++=were
resolved ^vpsv++by+xvbnx+=resolved
by ^in++++=by
consensus ^nn++++=consensus
with ^in++++=with
the ^ati++++=the
involvement ^nn++++=involvement
of ^in++++=of
a ^at++++=a
supervisor ^npt++++=supervisor
( ^zz++++=(FM).
fm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Due ^jj++++=Due
to ^to+jcmp+++=to
heterogeneity ^vb+++??+=heterogeneity
among ^in++++=among
the ^ati++++=the
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
a ^at++++=a
meta ^nn+++??+=meta-analysis
- ^zz++++=EXTRAWORD
analysis ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
conducted ^vbd+++xvbn+=conducted;
; ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
study ^nn++++=study
characteristics ^nns++++=characteristics
and ^cc++++=and
results ^nns++++=results
were ^vbd+bed+vrb++=were
analyzed ^nn++++=analyzed
qualitatively ^rb++++=qualitatively.
. ^zz++++=EXTRAWORD
