Coronaviruses ^np+++??+=Coronaviruses
are ^vb+ber+vrb++=are
a ^at++++=a
family ^nn++++=family
of ^in++++=of
enveloped ^vbd+++xvbn+=enveloped,
, ^zz++++=EXTRAWORD
positive ^jj++++=positive-sense
- ^zz++++=EXTRAWORD
sense ^nn++++=EXTRAWORD
single ^jj++++=single-stranded
- ^zz++++=EXTRAWORD
stranded ^jj+atrb+++=EXTRAWORD
Rna ^np+++??+=RNA
viruses ^nns++++=viruses
that ^tht+rel+obj++=that
cause ^nn++++=cause
respiratory ^jj+atrb+++=respiratory
infections ^nns++++=infections,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
novel ^nn++++=novel
coronavirus ^nns+++??+=coronavirus
( ^zz++++=(SARS-CoV-2)
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
identified ^vbd+++xvbn+=identified
in ^in++++=in
December ^nr++++=December
2019 ^cd++++=2019
in ^in++++=in
China ^np++++=China.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
family ^nn++++=family
is ^vbz+bez+aux++=is
classified ^vpsv++agls+xvbnx+=classified
into ^in++++=into
four ^cd++++=four
genera ^nns++++=genera:
: ^zz++++=EXTRAWORD
Alphacoronavirus ^np+++??+=Alphacoronavirus,
, ^zz++++=EXTRAWORD
Betacoronavirus ^np+++??+=Betacoronavirus,
, ^zz++++=EXTRAWORD
Gammacoronavirus ^np+++??+=Gammacoronavirus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Deltacoronavirus ^np+++??+=Deltacoronavirus.
. ^zz++++=EXTRAWORD
To ^in++++=To
date ^nn++++=date,
, ^zz++++=EXTRAWORD
six ^cd++++=six
coronaviruses ^nns+++??+=coronaviruses
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
infecting ^vb+++??+=infecting
humans ^nns++++=humans:
: ^zz++++=EXTRAWORD
Hcov ^np+++??+=HCoV-OC43,
- ^zz++++=EXTRAWORD
oc43 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Hcov ^np+++??+=HCoV-229E,
- ^zz++++=EXTRAWORD
229e ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Hcov ^np+++??+=HCoV-NL63,
- ^zz++++=EXTRAWORD
nl63 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Hcov ^np+++??+=HCoV-HKU1,
- ^zz++++=EXTRAWORD
hku1 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Middle ^jjb++++=Middle
East ^np+pl+++=East
respiratory ^jj+atrb+++=respiratory
syndrome ^nn++++=syndrome
coronavirus ^nns+++??+=coronavirus
( ^zz++++=(MERS-CoV),
mers ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
severe ^jj+atrb+++=severe
acute ^jj+atrb+++=acute
respiratory ^jj+atrb+++=respiratory
syndrome ^nn++++=syndrome
coronavirus ^nns+++??+=coronavirus
( ^zz++++=(SARS-CoV).
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
recently ^rb+tm+splt++=recently
attracted ^vprf+++xvbnx+=attracted
significant ^jj+atrb+++=significant
attention ^nn++++=attention,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
human ^jj+atrb+++=human
coronaviruses ^nns+++??+=coronaviruses
were ^vbd+bed+aux++=were
isolated ^vpsv++agls+xvbnx+=isolated
in ^in++++=in
1937 ^cd+date+++=1937.
. ^zz++++=EXTRAWORD
The ^ati++++=The
term ^nn++++=term
" ^zz++++="coronavirus"
coronavirus ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
crown ^nn++++=crown-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
appearance ^nn++++=appearance
of ^in++++=of
the ^ati++++=the
virus ^nn++++=virus
particles ^nns++++=particles
observed ^vbd+++xvbn+=observed
under ^in++++=under
electron ^nn++++=electron
microscopy ^nn++++=microscopy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
primary ^jj+atrb+++=primary
host ^nn++++=host
cell ^nn++++=cell
receptor ^nn+++??+=receptor
for ^in++++=for
human ^jj+atrb+++=human
infection ^nn++++=infection
is ^vbz+bez+vrb++=is
the ^ati++++=the
angiotensin ^nn++++=angiotensin-converting
- ^zz++++=EXTRAWORD
converting ^vbg+++xvbg+=EXTRAWORD
enzyme ^nn++++=enzyme
2 ^zz++++=2
( ^zz++++=(ACE2).
ace2 ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
