Table ^nn++++=Table
2 ^zz++++=2
displays ^nns++++=displays
the ^ati++++=the
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lethality ^nn+++??+=lethality
ratios ^nns++++=ratios
for ^in++++=for
each ^dt++++=each
pair ^nn++++=pair
of ^in++++=of
groups ^nns++++=groups
under ^in++++=under
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
the ^ati++++=the
p ^zz++++=p-values
- ^zz++++=EXTRAWORD
values ^nns++++=EXTRAWORD
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
hypothesis ^nn++++=hypothesis
tests ^nns++++=tests
assessing ^vbg+++xvbg+=assessing
differences ^nns++++=differences
between ^in++++=between
two ^cd++++=two
proportions ^nns++++=proportions.
. ^zz++++=EXTRAWORD
