To ^in++++=To
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
no ^at++++=no
previous ^jj+atrb+++=previous
study ^nn++++=study
has ^vbz+hvz+aux++=has
investigated ^vprf+++xvbnx+=investigated
the ^ati++++=the
associations ^nns++++=associations
between ^in++++=between
moderate ^jj++++=moderate-to-vigorous
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
vigorous ^jj+atrb+++=EXTRAWORD
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(MVPA)
mvpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
sedentary ^jj+atrb++??+=sedentary
behavior ^nn++++=behavior
( ^zz++++=(SB)
sb ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
depressive ^nn+++??+=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
( ^zz++++=(D&A)
d&a ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
symptoms ^nns++++=symptoms
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
assess ^vb++++=assess
levels ^nns++++=levels
of ^in++++=of
Mvpa ^np+++??+=MVPA
and ^cc++++=and
Sb ^np+++??+=SB
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
in ^in++++=in
Brazil ^np++++=Brazil;
; ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
determine ^vb++++=determine
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
depressive ^nn+++??+=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
D&a ^np+++??+=D&A
symptoms ^nns++++=symptoms
in ^in++++=in
Brazil ^np++++=Brazil;
; ^zz++++=EXTRAWORD
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
examine ^vb++++=examine
the ^ati++++=the
associations ^nns++++=associations
between ^in++++=between
Mvpa ^np+++??+=MVPA
and ^cc++++=and
Sb ^np+++??+=SB
with ^in++++=with
depressive ^nn+++??+=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
D&a ^np+++??+=D&A
symptoms ^nns++++=symptoms;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(4)
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
investigate ^vb++++=investigate
the ^ati++++=the
associations ^nns++++=associations
of ^in++++=of
different ^jj+atrb+++=different
intensities ^nns++++=intensities
of ^in++++=of
physical ^jj+atrb+++=physical
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
vigorous ^jj+atrb+++=vigorous
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(VPA)
vpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
moderate ^jj+atrb+++=moderate
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(MPA),
mpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
depressive ^nn+++??+=depressive,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
d&a ^np++++=D&A
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
