Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
some ^dti++++=some
companies ^nns++++=companies
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
have ^vb+hv+aux++=have
not ^xnot++not++=not
offered ^vbd+++xvbn+=offered
favorable ^&fw++++=favorable
interest ^nn++++=interest
rates ^nns++++=rates
to ^in++++=to
international ^jj+atrb+++=international
entities ^nns++++=entities,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
discouraged ^vprf+++xvbnx+=discouraged
foreign ^jj+atrb+++=foreign
investors ^nns++++=investors
from ^in++++=from
investing ^xvbg+++xvbg+=investing
in ^in++++=in
Turkey ^nn++++=Turkey.
. ^zz++++=EXTRAWORD
Investors ^nns++++=Investors
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
unwilling ^jj+pred+++=unwilling
to ^in+jcmp+++=to
allocate ^jj+atrb++??+=allocate
capital ^nn++++=capital
to ^in++++=to
an ^at++++=an
economy ^nn++++=economy
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
maximizing ^nn+++??+=maximizing
profits ^nns++++=profits,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
risk ^vb++++=risk
incurring ^vbg+++xvbg+=incurring
losses ^nns++++=losses
relative ^jj++++=relative
to ^in++++=to
their ^pp$+pp3+++=their
cost ^nn++++=cost
of ^in++++=of
capital ^nn++++=capital.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primary ^jj+atrb+++=primary
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
paper ^nn++++=paper
is ^vbz+bez+aux++=is
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
selected ^jj+atrb+++=selected
macroeconomic ^nn++++=macroeconomic
variables ^nns++++=variables
on ^in++++=on
investment ^nn++++=investment
inflows ^nns++++=inflows
in ^in++++=in
turkey ^nn++++=Turkey.
. ^zz++++=EXTRAWORD
