If ^cs+cnd+++=If
the ^ati++++=the
probability ^nn++++=probability
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
t ^zz++++=t-statistic
- ^zz++++=EXTRAWORD
statistic ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
greater ^jjr+pred+++=greater
than ^in++++=than
0.05 ^nn++++=0.05,
, ^zz++++=EXTRAWORD
the ^ati++++=the
null ^jj+atrb+++=null
hypothesis ^nn++++=hypothesis
is ^vbz+bez+aux++=is
not ^xnot++not++=not
rejected ^vpsv++agls+xvbn+=rejected.
. ^zz++++=EXTRAWORD
