Sterile ^jj+atrb+++=Sterile
water ^nn++++=water:
: ^zz++++=EXTRAWORD
Vigorous ^jj++++=Vigorous
cleaning ^jj+++xvbg+=cleaning
with ^in++++=with
plain ^jj+atrb+++=plain
water ^nn++++=water
alone ^rb++++=alone
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
be ^vbi++vrb++=be
insufficient ^jj+pred+++=insufficient
for ^in++++=for
eliminating ^nn+++??+=eliminating
pacifier ^nn+++??+=pacifier
contamination ^nn++++=contamination
[ ^zz++++=[11].
11 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
treated ^vwbn+++xvbn+=treated
with ^in++++=with
sterile ^jj+atrb+++=sterile
water ^nn++++=water
remained ^vbd+++xvbn+=remained
contaminated ^vbd+++xvbn+=contaminated,
, ^zz++++=EXTRAWORD
as ^ql++++=as
also ^rb++++=also
reported ^vpsv++by+xvbn+=reported
by ^in++++=by
other ^ap++++=other
studies ^nns++++=studies
[ ^zz++++=[3,9,10,14].
3,9,10,14 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
