When ^wrb+who+++=When
at ^in++++=at
least ^ql++++=least
two ^cd++++=two
studies ^nns++++=studies
are ^vb+ber+vrb++=are
sufficiently ^rb++++=sufficiently
homogeneous ^jj+pred+++=homogeneous
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
design ^nn++++=design,
, ^zz++++=EXTRAWORD
participant ^nn++++=participant
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
outcome ^nn++++=outcome
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
evaluate ^vb++++=evaluate
the ^ati++++=the
feasibility ^nn+++??+=feasibility
of ^in++++=of
combining ^xvbg+++xvbg+=combining
their ^pp$+pp3+++=their
results ^nns++++=results
in ^in++++=in
a ^at++++=a
meta ^nn+++??+=meta-analysis.
- ^zz++++=EXTRAWORD
analysis ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
available ^jj+atrb+++=available
studies ^nns++++=studies
are ^vb+ber+vrb++=are
heterogeneous ^jj+pred+++=heterogeneous
or ^cc++++=or
lack ^nn++++=lack
sufficient ^jj+atrb+++=sufficient
information ^nn++++=information,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
findings ^nns++++=findings
will ^md+prd+++=will
be ^vb+be+aux++=be
summarized ^vpsv++agls+xvbn+=summarized
using ^vbg+++xvbg+=using
a ^at++++=a
qualitative ^jj+atrb+++=qualitative
synthesis ^nn++++=synthesis
only ^rb+down+++=only.
. ^zz++++=EXTRAWORD
