Health ^nn++++=Health
professionals ^nns++++=professionals
are ^vb+ber+vrb++=are
at ^in++++=at
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
infection ^nn++++=infection
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
frontline ^nn+++??+=frontline
roles ^nns++++=roles
in ^in++++=in
managing ^xvbg+++xvbg+=managing
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
prioritization ^nn+++??+=prioritization
of ^in++++=of
personal ^jj+atrb+++=personal
protective ^jj+atrb+++=protective
equipment ^nn++++=equipment
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
and ^cc++++=and
should ^md+nec+++=should
be ^vb+be+aux++=be
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
the ^ati++++=the
adaptation ^nn++++=adaptation
of ^in++++=of
clinical ^jj+atrb+++=clinical
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
including ^in++++=including
surgical ^jj+atrb+++=surgical
interventions ^nns++++=interventions,
, ^zz++++=EXTRAWORD
to ^in++++=to
minimize ^jj+atrb++??+=minimize
infection ^nn++++=infection
risk ^nn++++=risk.
. ^zz++++=EXTRAWORD
Procedures ^nns++++=Procedures
that ^tht+rel+subj++=that
involve ^vb++++=involve
exposure ^nn++++=exposure
to ^in++++=to
patient ^nn++++=patient
aerosols ^nns+++??+=aerosols,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
cricothyroidotomy ^vb+++??+=cricothyroidotomy
and ^cc++++=and
tracheostomy ^nn+++??+=tracheostomy,
, ^zz++++=EXTRAWORD
require ^vb+vsua+++=require
specific ^jj+atrb+++=specific
modifications ^nns++++=modifications
and ^cc++++=and
comprehensive ^jj+atrb+++=comprehensive
training ^nn++++=training
for ^in++++=for
emergency ^nn++++=emergency
physicians ^nns++++=physicians
and ^cc++++=and
surgeons ^nns++++=surgeons.
. ^zz++++=EXTRAWORD
The ^ati++++=The
protection ^nn++++=protection
and ^cc++++=and
effective ^jj+atrb+++=effective
utilization ^nn+++??+=utilization
of ^in++++=of
health ^nn++++=health
professionals ^nns++++=professionals
are ^vb+ber+vrb++=are
critical ^jj+pred+++=critical
to ^in++++=to
the ^ati++++=the
ongoing ^nn++++=ongoing
response ^nn++++=response
to ^to++++=to
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
