Among ^in++++=Among
the ^ati++++=the
60 ^cd++++=60
employees ^nns++++=employees
tested ^vwbn+++xvbn+=tested,
, ^zz++++=EXTRAWORD
4 ^zz++++=4
were ^vbd+bed+vrb++=were
positive ^jj+pred+++=positive
for ^in++++=for
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
and ^cc++++=and
were ^vbd+bed+aux++=were
subsequently ^rb+tm+splt++=subsequently
isolated ^vpsv++agls+xvbnx+=isolated.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
may ^md+pos+++=may
assist ^vb++++=assist
healthcare ^jj+atrb++??+=healthcare
services ^nns++++=services
in ^in++++=in
identifying ^xvbg+++xvbg+=identifying
asymptomatic ^nn+++??+=asymptomatic
healthcare ^nn+++??+=healthcare
workers ^nns++++=workers,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
supporting ^vbg+++xvbg+=supporting
the ^ati++++=the
health ^nn++++=health
of ^in++++=of
both ^abx++++=both
staff ^nn++++=staff
and ^cc++++=and
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
reduce ^vbi++++=reduce
transmission ^nn++++=transmission
risk ^vb++++=risk
while ^cs+sub+++=while
minimizing ^vbg+++xvbg+=minimizing
the ^ati++++=the
likelihood ^nn++++=likelihood
of ^in++++=of
staff ^nn++++=staff
shortages ^nns++++=shortages
during ^in++++=during
periods ^nns++++=periods
of ^in++++=of
increased ^nn++++=increased
demand ^vb++++=demand.
. ^zz++++=EXTRAWORD
